definition_id,kind,name,information_family,provider,catalog_status,availability,causality,applicability,materialization_status,evaluation_route,source_experiment,observation_count,generated_configurations,failed_configurations,disposition_reason
F-PROJECT-FIRST-HOUR-VWAP-DEVIATION,factor,首小时VWAP偏离,POSITION_VALUATION,project,READY,首小时结束后,仅使用当日已完成分钟线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CONTINUOUS_FACTOR_AUDIT,20260914_S005_EX58,1408,0,0,validated historical point-in-time material exists
F-PROJECT-MONEYFLOW-BREADTH,factor,成分资金流宽度,FUND_FLOW,tushare+project,READY,T+1日数据源发布后,决策只使用已发布的前一交易日数据,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CONTINUOUS_FACTOR_AUDIT,20260914_S005_EX58,1353,0,0,validated historical point-in-time material exists
F-PROJECT-SELL-SIDE-REVISION-BREADTH,factor,成分卖方盈利预期修订宽度,FUNDAMENTAL_EXPECTATION,tushare+experiment,DISCOVERED,研报日期后的下一交易日,同公司同机构同预测期比较，按下一交易日历史成分及权重聚合,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CONTINUOUS_FACTOR_AUDIT,20260914_S005_EX67,1408,0,0,validated historical point-in-time material exists
F-PROJECT-SIGNED-VOLUME-IMBALANCE,factor,首小时有向成交量失衡,MARKET_MICROSTRUCTURE,project,READY,首小时结束后,仅使用当日已完成分钟线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CONTINUOUS_FACTOR_AUDIT,20260914_S005_EX58,1408,0,0,validated historical point-in-time material exists
F-PROJECT-STRUCTURED-NEWS-EVENT,factor,结构化新闻事件,EVENT_CATALYST,tushare+maas+project,READY,原文发布时间及抽取完成后,保留原文身份、发布时间和证据片段,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,EVENT_STUDY,20260914_S005_EX58,86,0,0,validated historical point-in-time material exists
SIG-CZSC-adtm_up_dw_line_V230603,signal,adtm_up_dw_line_V230603,TREND_MOMENTUM,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-amv_up_dw_line_V230603,signal,amv_up_dw_line_V230603,VOLUME_LIQUIDITY,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-asi_up_dw_line_V230603,signal,asi_up_dw_line_V230603,TREND_MOMENTUM,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_accelerate_V221110,signal,bar_accelerate_V221110,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_accelerate_V221118,signal,bar_accelerate_V221118,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_accelerate_V240428,signal,bar_accelerate_V240428,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_amount_acc_V230214,signal,bar_amount_acc_V230214,VOLUME_LIQUIDITY,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_big_solid_V230215,signal,bar_big_solid_V230215,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_bpm_V230227,signal,bar_bpm_V230227,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_break_V240428,signal,bar_break_V240428,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_channel_V230508,signal,bar_channel_V230508,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_classify_V240606,signal,bar_classify_V240606,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_classify_V240607,signal,bar_classify_V240607,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_decision_V240608,signal,bar_decision_V240608,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_decision_V240616,signal,bar_decision_V240616,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_dual_thrust_V230403,signal,bar_dual_thrust_V230403,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_eight_V230702,signal,bar_eight_V230702,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_end_V221211,signal,bar_end_V221211,CALENDAR_SEASONALITY,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_fake_break_V230204,signal,bar_fake_break_V230204,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_fang_liang_break_V221216,signal,bar_fang_liang_break_V221216,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_limit_down_V230525,signal,bar_limit_down_V230525,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1158,1,2,at least one causal K-line configuration materialized
SIG-CZSC-bar_mean_amount_V221112,signal,bar_mean_amount_V221112,VOLUME_LIQUIDITY,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_operate_span_V221111,signal,bar_operate_span_V221111,CALENDAR_SEASONALITY,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_plr_V240427,signal,bar_plr_V240427,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_polyfit_V240428,signal,bar_polyfit_V240428,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_r_breaker_V230326,signal,bar_r_breaker_V230326,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_reversal_V230227,signal,bar_reversal_V230227,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_section_momentum_V221112,signal,bar_section_momentum_V221112,TREND_MOMENTUM,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_shuang_fei_V230507,signal,bar_shuang_fei_V230507,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_single_V230214,signal,bar_single_V230214,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_single_V230506,signal,bar_single_V230506,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_td9_V240616,signal,bar_td9_V240616,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_time_V230327,signal,bar_time_V230327,CALENDAR_SEASONALITY,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_tnr_V230629,signal,bar_tnr_V230629,VOLATILITY_RISK,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_tnr_V230630,signal,bar_tnr_V230630,VOLATILITY_RISK,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_trend_V240209,signal,bar_trend_V240209,TREND_MOMENTUM,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_triple_V230506,signal,bar_triple_V230506,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_vol_bs1_V230224,signal,bar_vol_bs1_V230224,VOLUME_LIQUIDITY,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_vol_grow_V221112,signal,bar_vol_grow_V221112,VOLUME_LIQUIDITY,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_volatility_V241013,signal,bar_volatility_V241013,VOLATILITY_RISK,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_weekday_V230328,signal,bar_weekday_V230328,CALENDAR_SEASONALITY,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_window_ps_V230731,signal,bar_window_ps_V230731,POSITION_VALUATION,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_window_ps_V230801,signal,bar_window_ps_V230801,POSITION_VALUATION,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_window_std_V230731,signal,bar_window_std_V230731,VOLATILITY_RISK,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_zdf_V221203,signal,bar_zdf_V221203,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_zdt_V230331,signal,bar_zdt_V230331,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_zfzd_V241013,signal,bar_zfzd_V241013,VOLATILITY_RISK,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_zfzd_V241014,signal,bar_zfzd_V241014,VOLATILITY_RISK,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-bar_zt_count_V230504,signal,bar_zt_count_V230504,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1158,1,2,at least one causal K-line configuration materialized
SIG-CZSC-bias_up_dw_line_V230618,signal,bias_up_dw_line_V230618,TREND_MOMENTUM,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-byi_bi_end_V230106,signal,byi_bi_end_V230106,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-byi_bi_end_V230107,signal,byi_bi_end_V230107,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-byi_fx_num_V230628,signal,byi_fx_num_V230628,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-byi_second_bs_V230324,signal,byi_second_bs_V230324,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-byi_symmetry_zs_V221107,signal,byi_symmetry_zs_V221107,MARKET_STRUCTURE,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-cat_macd_V230518,signal,cat_macd_V230518,TREND_MOMENTUM,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,TRADER_CONTEXT_REQUIRED,CONTEXTUAL_SIGNAL_AUDIT,20260914_S005_EX49,0,0,0,"requires position, event, or multi-frequency trader context"
SIG-CZSC-cat_macd_V230520,signal,cat_macd_V230520,TREND_MOMENTUM,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,TRADER_CONTEXT_REQUIRED,CONTEXTUAL_SIGNAL_AUDIT,20260914_S005_EX49,0,0,0,"requires position, event, or multi-frequency trader context"
SIG-CZSC-cci_decision_V240620,signal,cci_decision_V240620,TREND_MOMENTUM,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-clv_up_dw_line_V230605,signal,clv_up_dw_line_V230605,TREND_MOMENTUM,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-cmo_up_dw_line_V230605,signal,cmo_up_dw_line_V230605,TREND_MOMENTUM,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-coo_cci_V230323,signal,coo_cci_V230323,TREND_MOMENTUM,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-coo_kdj_V230322,signal,coo_kdj_V230322,TREND_MOMENTUM,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
SIG-CZSC-coo_sar_V230325,signal,coo_sar_V230325,TREND_MOMENTUM,czsc,DISCOVERED,对应周期K线完成后,调用方必须只提供当时已完成K线,APPLICABLE,READY_FOR_TYPE_SPECIFIC_AUDIT,CATEGORICAL_SIGNAL_AUDIT,20260914_S005_EX49,1346,3,0,at least one causal K-line configuration materialized
