sample_id,relevance,review_evidence_excerpt,review_reason
EX39-0060,NOT_CATALYST,最新变频冰箱值得买 学生党入门级风冷免霜优选,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0061,NOT_CATALYST,庄浪：智慧农业书写丰收篇章,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0062,NOT_CATALYST,国药一致2026年半年度业绩快报,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0063,NOT_CATALYST,哪款智能手表值得买 户外耐造+健康监测全都要,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0064,NOT_CATALYST,2026智能手表值得买 上班族亚健康预警与运动激励一体机,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0065,NOT_CATALYST,2026智能手表值得买 老年用户全天候健康监测与快捷支付组合,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0066,NOT_CATALYST,鄂尔多斯市全力打造“诚信暖城”品牌,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0067,NOT_CATALYST,中报观察 | 仙工智能“机器人大脑”收入贡献仍有待提升,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0068,NOT_CATALYST,白云山关于子公司收到澳门成药登记证书的公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0069,NOT_CATALYST,2026年台式电脑值得买 剪辑师高帧率代理与输出利器,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0070,NOT_CATALYST,台式电脑哪款好值得买 游戏建模双修的旗舰级性能组合,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0071,NOT_CATALYST,十核台式机值得买清单 从办公到4K渲染一步到位的全能方案,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0072,NOT_CATALYST,2026台式电脑值得买清单 兼顾稳定续航与专业软件流畅运行,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0073,NOT_CATALYST,中报观察 | 空调“压舱石”失速 海信家电上半年营收下滑了5.22%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0074,NOT_CATALYST,哪款冰箱值得买 空巢家庭大容量免霜高能效之选,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0075,NOT_CATALYST,哪款电视值得买 巨幕控与画质党双需求精准匹配,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0076,NOT_CATALYST,2026电影镜头值得买 广角+近摄+低畸变三重保障,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0077,NOT_CATALYST,机器人实训数据集拿到“身份证”,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0078,NOT_CATALYST,兴业银行大连分行赋能制造业“智改数转”,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0079,NOT_CATALYST,蓝鲸和长须鲸在东南大西洋目击记录增加,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0080,NOT_CATALYST,连云港近海“减负”进行时,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0081,NOT_CATALYST,新能源车整体维修成本呈下降趋势,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0082,NOT_CATALYST,首笔突破！兴业银行天津分行落地增资型并购贷款业务,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0083,NOT_CATALYST,深耕跨境结算 兴业银行天津分行护航海外基建“走出去”,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0084,NOT_CATALYST,"中国体育产业的""技术下沉""样本 联想与中足联合作透视AI+体育全新产业逻辑",OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0085,NOT_CATALYST,商用显示器排行榜值得买 高亮度百万对比+人体工学全适配,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0086,NOT_CATALYST,济南恒誉环保科技股份有限公司 股东询价转让计划书,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0087,NOT_CATALYST,上海复旦微电子集团股份有限公司 关于2026年度“提质增效重回报” 专项行动方案半年度评估报告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0088,NOT_CATALYST,岳阳兴长上半年扭亏为盈 新材料业务贡献重要增量,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0089,NOT_CATALYST,中策橡胶集团股份有限公司 “提质增效重回报”专项行动方案 2026年半年度执行情况评估报告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0090,NOT_CATALYST,智能机器人“上岗” 风险该由谁来担,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0091,NOT_CATALYST,机器人“梦工厂”，服务近300家创新主体,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0092,NOT_CATALYST,重大转向，华尔街传奇投资大亨重返中概股,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0093,CATALYST_RELEVANT,AI算力订单占比升至九成 芯原股份上半年营收近翻倍但亏损持续｜财报解读,DIRECT_SCOPE_FACT
EX39-0094,NOT_CATALYST,央行新增8家数字人民币业务运营机构,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0095,NOT_CATALYST,国电电力积极围绕构建新型电力系统培育新质生产力,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0096,NOT_CATALYST,中信建投：算存光共驱，封测产业价值重估,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0097,NOT_CATALYST,链动上下游，具身智能加速奔跑——四川省绵阳市机器人企业抱团成长丨央媒看四川,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0098,CATALYST_RELEVANT,12天11板大牛股，今起复牌！磷化铟基板价格飙涨，多股业绩向好,DIRECT_SCOPE_FACT
EX39-0099,NOT_CATALYST,20CM涨停！聚和材料紧急提示：小心回调,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0100,NOT_CATALYST,美股存储、光通信巨头，逆势大涨,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0101,NOT_CATALYST,招金黄金上半年净利润同比增长超407%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0102,NOT_CATALYST,富乐德拟募资11.76亿投建七大项目 双主业协同发力半年盈利预增逾五成,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0103,CATALYST_RELEVANT,天力锂能涉信披违规被立案更正3份年报 三年亏11.6亿实控方质押率50.6%股权流拍,DIRECT_SCOPE_FACT
EX39-0104,NOT_CATALYST,我国在量子技术国际标准领域取得新进展,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0105,CATALYST_RELEVANT,四大证券报头版头条内容精华摘要_2026年8月18日_财经新闻,DIRECT_SCOPE_FACT
EX39-0106,NOT_CATALYST,海光信息高端发力单季首赚超10亿   存货逾75亿预付款倍增保障供应能力,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0107,CATALYST_RELEVANT,永和股份半年归母净利5.13亿创新高 加速产能扩张22亿可转债发行获受理,DIRECT_SCOPE_FACT
EX39-0108,NOT_CATALYST,中际旭创相继入股PCB及散热龙头 H股募资534亿港元加速产业链布局,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0109,NOT_CATALYST,路德科技扩大生物发酵饲料产能 半年盈利893万同比扭亏,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0110,NOT_CATALYST,股海导航_2026年8月18日_沪深股市公告与交易提示,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0111,NOT_CATALYST,机器人4S店开业一年营业额超6000万,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0112,NOT_CATALYST,天风·策略 | 封关前后海南发展解析——海南自贸政策和经济专题,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0113,NOT_CATALYST,《大荒歌》的创作是对北大荒精神的践行,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0114,NOT_CATALYST,【读财报】猪价回升：7月上市猪企销量同比增长2.76% 神农集团、金新农增速居前,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0115,NOT_CATALYST,南极电商卖吊牌卖出了六亿官司,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0116,NOT_CATALYST,汽车热管理系统零部件制造商天博智能(603448.SH)拟公开发行3000万股,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0117,NOT_CATALYST,宇树科技上市在即，上涨空间几何？,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0118,NOT_CATALYST,7月份一二三线城市商品住宅销售价格同比降幅总体继续收窄    宇树科技发布“超人”人形机器人,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0119,NOT_CATALYST,宇树科技上市在即，上涨空间几何？|《财经》特别报道,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0120,NOT_CATALYST,*ST英飞索赔时效剩八个月 此前部分股民二审胜诉,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0121,NOT_CATALYST,百亿固废龙头冲刺港股IPO，军信股份完成港股上市备案，2025年净利7.17亿,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0122,NOT_CATALYST,“投行+投资+投研” ！从“投早投小”到“全周期助力”，兴业证券书写科技金融答卷,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0123,NOT_CATALYST,“恒润股份”被操纵时效未届满 受损股民仍可索赔,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0124,NOT_CATALYST,宇树科技8月19日科创板上市 OpenAI承诺大规模部署英伟达算力基础设施,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0125,NOT_CATALYST,小K播早报|宇树科技8月19日科创板上市 OpenAI承诺大规模部署英伟达算力基础设施,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0126,NOT_CATALYST,四个涨停与一个跌停！背后是北京文化连亏7年，最后的王牌《封神第三部》仍在后期制作中,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0127,NOT_CATALYST,多方介入招商蛇口高管涉嫌伤害女性,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0128,NOT_CATALYST,百万元欠款触发亿元保全！云煤能源陷连环司法风波,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0129,NOT_CATALYST,侨乡海南文昌打造国际一流航天科技城,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0130,NOT_CATALYST,机器人挑战20分钟完成办公任务,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0131,NOT_CATALYST,具身智能“数据—大脑—小脑—本体”核心环节聚集 机器人竞技背后的产业链密码,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0132,NOT_CATALYST,风雨大考见担当——中国石油天然气销售河南公司把服务送到用户端,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0133,NOT_CATALYST,铜冠铜箔董秘兼财务负责人王俊林因病逝世，终年56岁,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0134,NOT_CATALYST,08月18日投资早报|爱丽家居相关核查工作已完成今日复牌，瑞芯微上半年净利润8.59亿元同比增长61.73%，今日一只新股上市,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0135,NOT_CATALYST,孙兴杰：“太平洋时代”国际格局演进的变与不变,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0136,NOT_CATALYST,A股年内最贵新股来了！频准激光高开488% 单签赚超45万创历史记录,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0137,NOT_CATALYST,平安银行上半年营收净利双增 “重回增长”迈出坚实一步,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0138,NOT_CATALYST,海南产经新观察：国际一流航天科技城，文昌如何打造？,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0139,NOT_CATALYST,招商蛇口浙江公司负责人赵海峰被调查，涉嫌商务饭局中侵犯女性,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0140,NOT_CATALYST,财说｜毛利率持续为负、债务高企，凯盛新能深陷光伏玻璃周期泥潭,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0141,NOT_CATALYST,学大教育(000526.SZ)2026年中报净利润为3.01亿元、较去年同期上涨30.85%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0142,NOT_CATALYST,达瑞电子(300976.SZ)2026年中报净利润为1.62亿元、较去年同期上涨23.02%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0143,NOT_CATALYST,森马服饰(002563.SZ)2026年中报净利润为4.79亿元、较去年同期上涨47.45%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0144,NOT_CATALYST,江苏神通(002438.SZ)2026年中报净利润为1.51亿元、较去年同期上涨0.10%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0145,NOT_CATALYST,凯盛新材(301069.SZ)2026年中报净利润为9423.89万元、较去年同期上涨6.50%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0146,NOT_CATALYST,欧林生物(688319.SH)2026年中报净利润为-3287.26万元，由盈转亏,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0147,NOT_CATALYST,鼎阳科技(688112.SH)2026年中报净利润为9179.14万元、较去年同期上涨19.40%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0148,NOT_CATALYST,“国家队”调仓路线图曝光：鹏鼎控股、生益科技领跑重仓榜，萤石网络、富春股份等消费标的获布局,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0149,NOT_CATALYST,亚太股份(002284.SZ)2026年中报净利润为2.68亿元、较去年同期上涨33.70%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0150,NOT_CATALYST,利民股份(002734.SZ)2026年中报净利润为2.74亿元、较去年同期上涨1.90%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0151,NOT_CATALYST,远东传动(002406.SZ)2026年中报净利润为1.01亿元、较去年同期上涨83.78%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0152,NOT_CATALYST,浙江永强(002489.SZ)2026年中报净利润为-402.15万元，由盈转亏,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0153,NOT_CATALYST,2026世界机器人大会明日开幕！南方基金旗下机器人ETF南方(159258)昨日获资金净流入,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0154,NOT_CATALYST,频准激光登陆科创板：精准光源点亮国产硬科技新征程,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0155,CATALYST_RELEVANT,上半年亏损超6亿，芯原股份亟待百亿AI订单扭转局面,DIRECT_SCOPE_FACT
EX39-0156,NOT_CATALYST,联泓新科(003022.SZ)2026年中报净利润为4.27亿元、较去年同期上涨165.68%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0157,NOT_CATALYST,仲景食品(300908.SZ)2026年中报净利润为1.08亿元、较去年同期上涨7.75%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0158,CATALYST_RELEVANT,锋龙股份(002931.SZ)2026年中报净利润为-201.51万元，由盈转亏,DIRECT_SCOPE_FACT
EX39-0159,NOT_CATALYST,芯原股份上半年营收接近倍增 充足订单支撑未来业绩增长,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0160,NOT_CATALYST,创元科技(000551.SZ)2026年中报净利润为1.80亿元、较去年同期上涨11.47%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0161,NOT_CATALYST,苏州龙杰(603332.SH)2026年中报净利润为5461.28万元、较去年同期上涨64.24%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0162,NOT_CATALYST,融捷股份(002192.SZ)2026年中报净利润为10.02亿元、较去年同期上涨1076.14%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0163,NOT_CATALYST,孚日股份(002083.SZ)2026年中报净利润为4.03亿元、较去年同期上涨64.01%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0164,NOT_CATALYST,恩华药业(002262.SZ)2026年中报净利润为7.41亿元、较去年同期上涨5.74%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0165,NOT_CATALYST,三维通信(002115.SZ)2026年中报净利润为5039.35万元、较去年同期上涨1825.74%,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
