component_id,kind,information_family,oof_ic,positive_holdout_years,annual_ic_json,selected
SIG-30M-A9E943E431C115D2,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.07824051121144522,3,"{""2021"": 0.10178026983229384, ""2022"": 0.08815980018211679, ""2023"": 0.025767404279511078}",True
SIG-30M-4D26215BA9B6CE1A,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.02248710817575208,2,"{""2021"": -0.0381346427529395, ""2022"": 0.06317933120022036, ""2023"": 0.11380123461855436}",True
SIG-30M-4151A9C88C781447,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.02913731795810276,3,"{""2021"": 0.00949829114964626, ""2022"": 0.02768517635301052, ""2023"": 0.013472864786378906}",False
SIG-30M-7BC1EE330975403C,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.0033191569082738487,1,"{""2021"": 0.03635221205435639, ""2022"": -0.009647300182477713, ""2023"": -0.11944902089607491}",False
SIG-30M-A4E0E0C62CBC2773,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.0197716683010018,2,"{""2021"": -0.038449849505844645, ""2022"": 0.058988276175728244, ""2023"": 0.08614556686904407}",True
SIG-30M-60939B2E4DA16C0D,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.002640708331379691,2,"{""2021"": 0.02641161061958272, ""2022"": 0.005898148370783345, ""2023"": -0.02627465543355875}",False
SIG-30M-D0804456E74F4E0F,CATEGORICAL_SIGNAL,CALENDAR_SEASONALITY,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-1778790FE65D12E6,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.05486717361715065,1,"{""2021"": -0.083220606329383, ""2022"": 0.04553399416833961, ""2023"": -0.09758807636373863}",False
SIG-30M-DFEC0D18E24EDDF6,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.06276979627595733,1,"{""2021"": -0.044274139528830345, ""2022"": -0.11344695834683588, ""2023"": 0.00034641897571564503}",False
SIG-30M-166C11366E17D0A0,CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,-0.07838062485695955,0,"{""2021"": -0.02301299070116642, ""2022"": -0.1760710338511367, ""2023"": -0.12410281552158417}",False
SIG-30M-9F4C3F2EA9B8B010,CATEGORICAL_SIGNAL,CALENDAR_SEASONALITY,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-7ED6D047D7193E5A,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.07897959228343707,3,"{""2021"": 0.029100585352651278, ""2022"": 0.11322947236688821, ""2023"": 0.08158674025494513}",True
SIG-30M-0D20B698553AEE56,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.0710345829517909,0,"{""2021"": -0.12282262878149143, ""2022"": -0.06819303221810617, ""2023"": -0.06243582161694578}",False
SIG-30M-8480CDE42C1CAD7A,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.03251466944222323,2,"{""2021"": 0.0025268350767927456, ""2022"": -0.04048889676324663, ""2023"": 0.008399703830285042}",False
SIG-30M-758A25C9EC1E3B3A,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-37DE76F11A7573E6,CATEGORICAL_SIGNAL,TREND_MOMENTUM,0.04928287329622428,3,"{""2021"": 0.02057587667658151, ""2022"": 0.033597291671050716, ""2023"": 0.12325143968325093}",True
SIG-30M-B06C16DE4ACFCD8A,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-D9D10E2B1B6B6E74,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.10594404732851129,3,"{""2021"": 0.06685994947504224, ""2022"": 0.0943889818271348, ""2023"": 0.124567406830203}",True
SIG-30M-503B24C255FFAADB,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.01830402104320325,1,"{""2021"": -0.0542950106727812, ""2022"": -0.026308673340563263, ""2023"": 0.025190876493554216}",False
SIG-30M-16558BD8A8C1A051,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.05419168797373734,0,"{""2021"": -0.07355731707112767, ""2022"": -0.1853452014853662, ""2023"": -0.11305327208058284}",False
SIG-30M-CA2DC5CD6FB2D368,CATEGORICAL_SIGNAL,CALENDAR_SEASONALITY,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-9A3AF071B45C9866,CATEGORICAL_SIGNAL,VOLATILITY_RISK,-0.009002976929527302,1,"{""2021"": -0.058662750338956, ""2022"": -0.05670196414847288, ""2023"": 0.08653256554373984}",False
SIG-30M-2EBFCBE9F804598E,CATEGORICAL_SIGNAL,VOLATILITY_RISK,0.09156734751978958,3,"{""2021"": 0.011878073505617433, ""2022"": 0.11392882134409209, ""2023"": 0.1258642017311731}",True
SIG-30M-10D0C83700333C77,CATEGORICAL_SIGNAL,TREND_MOMENTUM,0.046730255755861476,2,"{""2021"": 0.05199539107138789, ""2022"": 0.13064286389050234, ""2023"": -0.009986529271904337}",True
SIG-30M-9D5DC4DE2251AD3F,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.02164841019177196,2,"{""2021"": -0.06761947075695181, ""2022"": 0.04364187440856681, ""2023"": 0.08585235845328035}",False
SIG-30M-E41B5566BDB921E9,CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-C569CC6E3602AEA6,CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,-0.018401970277055008,1,"{""2021"": 0.09040639717550122, ""2022"": -0.018977962266748482, ""2023"": -0.11712103799124739}",False
SIG-30M-1DD7B73BA2D00606,CATEGORICAL_SIGNAL,VOLATILITY_RISK,-0.05561070901022783,1,"{""2021"": -0.07399222419800189, ""2022"": -0.08170090050401436, ""2023"": 0.009115015447082016}",False
SIG-30M-719684AE3B754EB0,CATEGORICAL_SIGNAL,CALENDAR_SEASONALITY,0.058896197026734896,3,"{""2021"": 0.07695468694109564, ""2022"": 0.027680225857931447, ""2023"": 0.04744472480273592}",True
SIG-30M-AEBAB3F5E7699053,CATEGORICAL_SIGNAL,POSITION_VALUATION,-0.049118500436166224,1,"{""2021"": -0.1069605852619106, ""2022"": -0.06331930394918897, ""2023"": 0.027082869458749416}",False
SIG-30M-5E1BA4E10F41F424,CATEGORICAL_SIGNAL,POSITION_VALUATION,-0.019297923307949445,1,"{""2021"": -0.00012914104139877245, ""2022"": 0.014963284158370093, ""2023"": -0.055158431227594604}",False
SIG-30M-D27F3FF372795953,CATEGORICAL_SIGNAL,VOLATILITY_RISK,0.0006646929669455428,1,"{""2021"": -0.02060204030284251, ""2022"": -0.011342910708630164, ""2023"": 0.04547856244913061}",False
SIG-30M-77809F2911E7980B,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-87BBC4E47781EFF4,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.043339577821645006,3,"{""2021"": 0.026570315757488576, ""2022"": 0.13302601470510247, ""2023"": 0.04285639127940736}",True
SIG-30M-45AA63C5B6F16771,CATEGORICAL_SIGNAL,VOLATILITY_RISK,-0.0015297975869925909,1,"{""2021"": -0.02403523915481115, ""2022"": -0.023233935885983846, ""2023"": 0.020746313424560497}",False
SIG-30M-B6F3EB1D1F1B380C,CATEGORICAL_SIGNAL,VOLATILITY_RISK,-0.027489166119904932,2,"{""2021"": -0.010841821249800838, ""2022"": 0.018989180901202617, ""2023"": 0.00947544489037523}",False
SIG-30M-574ADBDED90DD8B3,CATEGORICAL_SIGNAL,TREND_MOMENTUM,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-AA7187C52BDF4294,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.06949351599242892,0,"{""2021"": -0.08152330682905931, ""2022"": null, ""2023"": null}",False
SIG-30M-B920FC0F46118FA7,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.023884369484526394,0,"{""2021"": -0.15978228557052113, ""2022"": -0.014702191971963811, ""2023"": -0.042374435841147154}",False
SIG-30M-8496D83608BCE4DC,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.013148412250210791,1,"{""2021"": -0.02294519969749082, ""2022"": -0.052508025230723857, ""2023"": 0.02996360432117373}",False
SIG-30M-1D01B88D700641AF,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-765F82053B816D6A,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.04304763860158757,3,"{""2021"": 0.0043566070489000465, ""2022"": 0.048409903661916207, ""2023"": 0.023450985134376236}",True
SIG-30M-0BE44721879919A1,CATEGORICAL_SIGNAL,TREND_MOMENTUM,0.015460283722163584,3,"{""2021"": 0.002574523643963411, ""2022"": 0.04350658605562709, ""2023"": 0.09503754752485526}",True
SIG-30M-C8249E169EB0962C,CATEGORICAL_SIGNAL,TREND_MOMENTUM,-0.031016152174137855,1,"{""2021"": -0.004628617516391314, ""2022"": 0.01804355611432464, ""2023"": -0.044210684768405}",False
SIG-30M-43650FFBA72E1834,CATEGORICAL_SIGNAL,TREND_MOMENTUM,0.03731775929595124,2,"{""2021"": 0.03669413511578424, ""2022"": 0.05863540671333611, ""2023"": -0.023166338231622795}",True
SIG-30M-88366CEFFFE7FEE2,CATEGORICAL_SIGNAL,TREND_MOMENTUM,-0.057266169803791796,1,"{""2021"": 0.008506424050676165, ""2022"": -0.1217118422089446, ""2023"": -0.13827372506967336}",False
SIG-30M-C485339CC0995A79,CATEGORICAL_SIGNAL,TREND_MOMENTUM,0.03775986841761237,2,"{""2021"": 0.05741024286087734, ""2022"": 0.03896851937845642, ""2023"": -0.02294131365216077}",True
SIG-30M-B87D8525E4E1BB52,CATEGORICAL_SIGNAL,TREND_MOMENTUM,-0.03555372835087847,0,"{""2021"": -0.011985268686888761, ""2022"": -0.07379967495408124, ""2023"": -0.08902390304640644}",False
SIG-30M-C6E081F7E04E73CD,CATEGORICAL_SIGNAL,TREND_MOMENTUM,-0.05439211149052779,0,"{""2021"": -0.07048695197448661, ""2022"": -0.05520330719078219, ""2023"": -0.02037028412741534}",False
SIG-30M-43056276F9E0BD84,CATEGORICAL_SIGNAL,TREND_MOMENTUM,-0.05439211149052779,0,"{""2021"": -0.07048695197448661, ""2022"": -0.05520330719078219, ""2023"": -0.02037028412741534}",False
SIG-30M-E6E6673FC2423162,CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,0.04134621422198763,2,"{""2021"": -0.0052843426101253565, ""2022"": 0.1009393718279732, ""2023"": 0.07841834318283417}",True
SIG-30M-0556412A129AF090,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.054557098885146066,1,"{""2021"": -0.03347090281079199, ""2022"": -0.1282447358682871, ""2023"": 0.022950964038415362}",False
SIG-30M-03BD2DFB4E965635,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.07389740290867057,0,"{""2021"": -0.07389740290867057, ""2022"": null, ""2023"": null}",False
SIG-30M-A3336C61BDD6B67A,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.02319667802305881,0,"{""2021"": null, ""2022"": null, ""2023"": -0.0002689700326260086}",False
SIG-30M-EAAE838107E13DCC,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.007166700655839076,2,"{""2021"": -0.00825891736403166, ""2022"": 0.010310102297425822, ""2023"": 0.040057049114881664}",False
SIG-30M-4395985B41060515,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.047375005373650976,1,"{""2021"": -0.034301781528571065, ""2022"": -0.10780629706002956, ""2023"": 0.0005379400652520172}",False
SIG-30M-434D1F82B1DFDC23,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.019451069985438694,1,"{""2021"": -0.06853803157264891, ""2022"": 0.002037541412128745, ""2023"": -0.04204589785718994}",False
SIG-30M-CB7EC61CB22803E1,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.046565428092114995,1,"{""2021"": -0.01789971003977171, ""2022"": 0.021116788939637168, ""2023"": -0.09862844900095522}",False
SIG-30M-FDDB175965986D69,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.04932344950255518,2,"{""2021"": -0.045939015781788, ""2022"": 0.0364583466591808, ""2023"": 0.047319303541764425}",True
SIG-30M-945C914C75D7CF9F,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.06374705154334033,3,"{""2021"": 0.06007506629129372, ""2022"": 0.03960752165427015, ""2023"": 0.055462786404290025}",True
SIG-30M-B0420C9CADFCFB03,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.011397194646012167,2,"{""2021"": 0.04630875632862925, ""2022"": 0.01140396700388326, ""2023"": -0.023943266894308795}",True
SIG-30M-0B43D3DB4CA0013C,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-8794C6C4D68E5FB6,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.06749518999098203,2,"{""2021"": -0.005850138955309415, ""2022"": 0.09868126753787525, ""2023"": 0.01680872936099571}",True
SIG-30M-CD672B8912E30577,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.024731787669721575,2,"{""2021"": -0.02994951245151874, ""2022"": 0.04618000427220849, ""2023"": 0.0835129674135267}",True
SIG-30M-B25C4E5A52909F2E,CATEGORICAL_SIGNAL,POSITION_RISK,-0.054557098885146066,1,"{""2021"": -0.03347090281079199, ""2022"": -0.1282447358682871, ""2023"": 0.022950964038415362}",False
SIG-30M-7EB8D0ABB6EE93F0,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.016298203443142527,1,"{""2021"": 0.024172289479992202, ""2022"": -0.047799390166058234, ""2023"": -0.024272075199978156}",False
SIG-30M-7FAE8A62E8BD6292,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.08772844900626595,0,"{""2021"": -0.06617112058753223, ""2022"": -0.11563535931459691, ""2023"": -0.06857137817791363}",False
SIG-30M-27BAA34C9583C1F4,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.013148412250210791,1,"{""2021"": -0.02294519969749082, ""2022"": -0.052508025230723857, ""2023"": 0.02996360432117373}",False
SIG-30M-DC6B944A24230293,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.01799168639750537,2,"{""2021"": -0.024127574372360436, ""2022"": 0.10715292556269607, ""2023"": 0.009565437035207958}",True
SIG-30M-3A2B015C4A9FE5DA,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.01690628413316916,2,"{""2021"": 0.035887909084346574, ""2022"": 0.07783586093094293, ""2023"": -0.07271279103837448}",True
SIG-30M-F2AEB6424AC435E2,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.047620510140548224,1,"{""2021"": 0.013620887182649427, ""2022"": -0.09000752264252966, ""2023"": -0.01372641034766742}",False
SIG-30M-4280E17AC005EE54,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.01698776671923762,2,"{""2021"": 0.03936724999830074, ""2022"": -0.010790461018223563, ""2023"": 0.01776337952723687}",True
SIG-30M-1FBBB714711D215A,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.0013680014648714193,2,"{""2021"": 0.05973810809447152, ""2022"": 0.04510720761261602, ""2023"": -0.06129183176986655}",False
SIG-30M-1136D224CDE66790,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.0333843353628698,1,"{""2021"": -0.007417126608518853, ""2022"": -0.013344105594984253, ""2023"": 0.01178156096123372}",False
SIG-30M-D74CA25EC93EE915,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.03947890255352509,2,"{""2021"": 0.03255027619838877, ""2022"": -0.047569899486102664, ""2023"": 0.03118646218034491}",True
SIG-30M-D9EC6197249E15BF,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.023548331011292334,0,"{""2021"": -0.007256560704714261, ""2022"": -0.07654605816318845, ""2023"": -0.022989178188832827}",False
SIG-30M-BEC3843A16C101AD,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.07622968047687703,3,"{""2021"": 0.05189822703391982, ""2022"": 0.1390686051314515, ""2023"": 0.025331486446677397}",True
SIG-30M-D2F0833875BAEFBA,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.03352161355859809,1,"{""2021"": 0.002630316016794124, ""2022"": -0.051815355985938234, ""2023"": -0.10045169762746199}",False
SIG-30M-A95C061A192ACD08,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.028164557711233072,0,"{""2021"": -0.020891782189547393, ""2022"": -0.008246026848911877, ""2023"": -0.002960782557305277}",False
SIG-30M-F0D83E53E4EF7922,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.061959800607095265,2,"{""2021"": -0.010429858378843982, ""2022"": 0.1876969500940956, ""2023"": 0.02397947681992252}",True
SIG-30M-AA7F7198FD5F50EB,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.04485268527689819,2,"{""2021"": 0.03040276790547747, ""2022"": -0.05607643774251195, ""2023"": 0.016004720573559013}",False
SIG-30M-DBD1A139C1B2920B,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.0542452640042053,1,"{""2021"": -0.09628393337058143, ""2022"": -0.02976690977253599, ""2023"": 0.025041670905687697}",False
SIG-30M-6EDAA2BC7B058FD0,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.032230272850382734,2,"{""2021"": -0.033602132853309194, ""2022"": 0.07036911855547079, ""2023"": 0.08017562195743412}",True
SIG-30M-CD4798FB6B5A708F,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.027056620532777804,2,"{""2021"": 0.08372790014117529, ""2022"": 0.03108720975302966, ""2023"": -0.01655927203375979}",True
SIG-30M-0517713D25F3ACB8,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.027240343039656573,2,"{""2021"": 0.06926276833065274, ""2022"": 0.06935881383649035, ""2023"": -0.08052954348742383}",True
SIG-30M-A3C4BD0AD415066E,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.018872993622704077,0,"{""2021"": -0.061606864889362706, ""2022"": -0.017072634201271274, ""2023"": -0.08427393159819715}",False
SIG-30M-C0DC7BD559CCDF89,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.016351523988910335,2,"{""2021"": 0.017584316028497717, ""2022"": -0.0055316877776442844, ""2023"": 0.02006154826113569}",False
SIG-30M-125AD1DB9C4B97E1,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.006659211098202363,2,"{""2021"": 0.002411998055823774, ""2022"": 0.011402897556695237, ""2023"": -0.008576901490190445}",False
SIG-30M-6D2E65804A5E0280,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.007281545242450206,0,"{""2021"": -0.02187491932823966, ""2022"": -0.0248221520599204, ""2023"": -0.014634946906719787}",False
SIG-30M-262D51A673FD3864,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.030022711506571258,1,"{""2021"": 0.049598550007391266, ""2022"": -0.07284303278874263, ""2023"": -0.028051756109509305}",False
SIG-30M-35AC1C7D00F6AF7D,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.05171399353870255,1,"{""2021"": -0.047021203536557137, ""2022"": -0.01013739959642362, ""2023"": 0.18335491013393096}",False
SIG-30M-0DF4ABB160CC5463,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.0042340009983627,3,"{""2021"": 0.010644922405838983, ""2022"": 0.06018174830202133, ""2023"": 0.09010835545609115}",True
SIG-30M-B2E77F23E0A17066,CATEGORICAL_SIGNAL,TREND_MOMENTUM,0.10669371892084441,2,"{""2021"": -0.013782136451502584, ""2022"": 0.1454422505991506, ""2023"": 0.08585499201778832}",True
SIG-30M-B67DC0E97C5F10D0,CATEGORICAL_SIGNAL,TREND_MOMENTUM,-0.0031256792771986713,2,"{""2021"": -0.05978171002784705, ""2022"": 0.0032433991275635982, ""2023"": 0.019662742465394706}",False
SIG-30M-AB6ADC510F2D5223,CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,0.007179438428881039,1,"{""2021"": -0.01514520489176108, ""2022"": 0.04264819962351641, ""2023"": -0.09172367224669585}",False
SIG-30M-528448675CCCDA96,CATEGORICAL_SIGNAL,TREND_MOMENTUM,-0.02388202097167469,1,"{""2021"": -0.09885865601670679, ""2022"": -0.07507832478450545, ""2023"": 0.042760324675946725}",False
SIG-30M-01B567D5FACA007D,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-7DD11B87A6C6A299,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.05209796145821237,0,"{""2021"": null, ""2022"": -0.05209796145821237, ""2023"": null}",False
SIG-30M-341F4E12849B6CEA,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.0470302260482314,1,"{""2021"": -0.0808230565509447, ""2022"": -0.02994501284801026, ""2023"": 0.020759099164023034}",False
SIG-30M-DA79A70ED88957BE,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-F6DEC87107EEEACE,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.07344523413821852,0,"{""2021"": null, ""2022"": -0.15318673279662837, ""2023"": -0.09543691699033233}",False
SIG-30M-FCC80981AA4B757C,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-0F370FFA39456030,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-A473C1A5D557471F,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.02374803740683102,0,"{""2021"": -0.03763901602088228, ""2022"": -0.02644461112982569, ""2023"": -0.06796787990547103}",False
SIG-30M-BECEBACA84608C80,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.04142188503382922,0,"{""2021"": -0.04702632046446565, ""2022"": -0.007809283061366646, ""2023"": -0.012267255581920659}",False
SIG-30M-BDBA8099832CA5EC,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.054557098885146066,1,"{""2021"": -0.03347090281079199, ""2022"": -0.1282447358682871, ""2023"": 0.022950964038415362}",False
SIG-30M-45085519F87D6637,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,-0.03177841710129979,0,"{""2021"": -0.05672572973023458, ""2022"": -0.014588588837437683, ""2023"": -0.02835992887925626}",False
SIG-30M-89FFC9D74FE3EE8B,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.03254291183934811,2,"{""2021"": 0.05698756228128011, ""2022"": -0.048310562479205975, ""2023"": 0.09681999100961787}",True
SIG-30M-EF32BFEC12879816,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.016848244243468327,3,"{""2021"": 0.003616684523091921, ""2022"": 0.00014198696475212083, ""2023"": 0.03499780230076081}",True
SIG-30M-E9C20B6364B76CC5,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-64E1A8839FDBEEF6,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-8C0098B478376FE8,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-CBC4A84DB79BD4AC,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-E9372D6E0B3A89C7,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,0.030705928729249026,3,"{""2021"": 0.0007511339020854977, ""2022"": 0.02432638044609924, ""2023"": 0.08072635565564477}",True
SIG-30M-85CF9B599DAAB4D0,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,,0,"{""2021"": null, ""2022"": null, ""2023"": null}",False
SIG-30M-3D20AB70F85B10F2,CATEGORICAL_SIGNAL,TREND_MOMENTUM,-0.04998935524952433,0,"{""2021"": -0.06131044576014912, ""2022"": -0.12191257285000104, ""2023"": -0.11055367256261721}",False
SIG-30M-F4D660C3603EB1FE,CATEGORICAL_SIGNAL,TREND_MOMENTUM,-0.01193612452606313,1,"{""2021"": 0.0037228156988332642, ""2022"": -0.01813900993563346, ""2023"": -0.03483970690576918}",False
SIG-30M-A24EFFFEB61F4F70,CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,0.08270680765562487,3,"{""2021"": 0.06945378898931967, ""2022"": 0.0641342321851629, ""2023"": 0.03033288484328559}",True
SIG-30M-EEF2AFD62AD7392B,CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,-0.03439845092667783,1,"{""2021"": -0.07852047993333378, ""2022"": -0.06132936052335082, ""2023"": 0.028359606185982204}",False
