holding_sessions,window,signal_date,execution_date,side,size,price,fees
3,2021_2026YTD,2023-03-20,2023-03-21,Buy,166270.9050156577,6.199,515.3566700959345
3,2021_2026YTD,2023-03-23,2023-03-24,Sell,166270.9050156577,6.32,525.4160598494784
3,2021_2026YTD,2023-03-29,2023-03-30,Buy,167189.33153889808,6.279,524.8909063662868
3,2021_2026YTD,2023-04-03,2023-04-04,Sell,167189.33153889808,6.429,537.4301062317879
3,2021_2026YTD,2023-05-11,2023-05-12,Buy,174089.80048843025,6.168,536.892944706371
3,2021_2026YTD,2023-05-16,2023-05-17,Sell,174089.80048843025,6.126,533.2370588960619
3,2021_2026YTD,2023-07-10,2023-07-11,Buy,174972.6025036796,6.089,532.7040883223526
3,2021_2026YTD,2023-07-13,2023-07-14,Sell,174972.6025036796,6.155,538.478184205074
3,2021_2026YTD,2023-07-18,2023-07-19,Buy,176547.41553180467,6.094,537.9399751252495
3,2021_2026YTD,2023-07-21,2023-07-24,Sell,176547.41553180467,6.0,529.642246595414
3,2021_2026YTD,2023-09-15,2023-09-18,Buy,182452.71346124055,5.8,529.1128690375481
3,2021_2026YTD,2023-09-20,2023-09-21,Sell,182452.71346124055,5.746,524.1866457741442
3,2021_2026YTD,2023-10-11,2023-10-12,Buy,181953.69044152598,5.756,523.6627210906008
3,2021_2026YTD,2023-10-16,2023-10-17,Sell,181953.69044152598,5.69,517.6582493061414
3,2021_2026YTD,2023-11-02,2023-11-03,Buy,185854.75283256426,5.565,517.1408497565426
3,2021_2026YTD,2023-11-07,2023-11-08,Sell,185854.75283256426,5.7,529.6860455728081
3,2021_2026YTD,2023-12-15,2023-12-18,Buy,191723.4145789503,5.52,529.1566242377739
3,2021_2026YTD,2023-12-20,2023-12-21,Sell,191723.4145789503,5.39,516.6946022902711
3,2021_2026YTD,2024-03-14,2024-03-15,Buy,188972.42024754634,5.463,516.1781659061089
3,2021_2026YTD,2024-03-19,2024-03-20,Sell,188972.42024754634,5.562,525.5323007084264
3,2021_2026YTD,2024-06-03,2024-06-04,Buy,198527.89980811154,5.289,525.0070310425945
3,2021_2026YTD,2024-06-06,2024-06-07,Sell,198527.89980811154,5.291,525.2055589423592
3,2021_2026YTD,2024-11-26,2024-11-27,Buy,181487.5876357525,5.782,524.6806158549152
3,2021_2026YTD,2024-11-29,2024-12-02,Sell,181487.5876357525,5.946,539.5625980410922
3,2021_2026YTD,2025-01-23,2025-01-24,Buy,193579.92641031672,5.569,539.0233050894458
3,2021_2026YTD,2025-02-05,2025-02-06,Sell,193579.92641031672,5.598,541.8302140224765
3,2021_2026YTD,2025-03-25,2025-03-26,Buy,182467.10082190164,5.933,541.2886545881629
3,2021_2026YTD,2025-03-28,2025-03-31,Sell,182467.10082190164,5.881,536.5445099668018
3,2021_2026YTD,2025-04-24,2025-04-25,Buy,191090.27935651367,5.61,536.008233594941
3,2021_2026YTD,2025-04-29,2025-04-30,Sell,191090.27935651367,5.598,534.8616919188818
3,2021_2026YTD,2025-11-20,2025-11-21,Buy,150557.08580562417,7.098,534.3270975241903
3,2021_2026YTD,2025-11-25,2025-11-26,Sell,150557.08580562417,7.055,531.0901201793392
3,2021_2026YTD,2026-04-02,2026-04-03,Buy,137861.3214165295,7.697,530.5592954715248
3,2021_2026YTD,2026-04-08,2026-04-09,Sell,137861.3214165295,7.961,548.7569898984957
3,2021_2026YTD,2026-08-03,2026-08-04,Buy,146776.03939758276,7.47,548.208507149946
3,2021_2026YTD,2026-08-06,2026-08-07,Sell,146776.03939758276,7.82,573.8943140445487
3,2021_2026YTD,2026-09-03,2026-09-04,Buy,146516.91963564,7.826,573.3207065341994
4,2021,2021-03-10,2021-03-11,Buy,148912.43293728583,6.712,499.75012493750546
4,2021,2021-03-16,2021-03-17,Sell,148912.43293728583,6.841,509.35497686198624
4,2021,2021-05-21,2021-05-24,Buy,140235.87610178796,7.257,508.84587643528357
4,2021,2021-05-27,2021-05-28,Sell,140235.87610178796,7.432,521.1165155942441
4,2022,2022-08-04,2022-08-05,Buy,141833.4397438715,7.047,499.75012493750546
4,2022,2022-08-10,2022-08-11,Sell,141833.4397438715,7.265,515.2099698696132
4,2022,2022-10-25,2022-10-26,Buy,175066.33244081307,5.88,514.6950173759833
4,2022,2022-10-31,2022-11-01,Sell,175066.33244081307,5.824,509.79316006764765
4,2022,2022-12-02,2022-12-05,Buy,163862.16913667164,6.216,509.28362167673185
4,2022,2022-12-08,2022-12-09,Sell,163862.16913667164,6.19,507.15341347799875
4,2023,2023-02-17,2023-02-20,Buy,159105.42022844037,6.282,499.75012493750546
4,2023,2023-02-23,2023-02-24,Sell,159105.42022844037,6.368,506.59165800735417
4,2023,2023-03-06,2023-03-07,Buy,158151.66234955975,6.4,506.0853195185773
4,2023,2023-03-10,2023-03-13,Sell,158151.66234955975,6.22,491.85166990713077
4,2023,2023-03-20,2023-03-21,Buy,158528.81562837787,6.199,491.36006404005457
4,2023,2023-03-24,2023-03-27,Sell,158528.81562837787,6.323,501.1888506091167
4,2023,2023-03-29,2023-03-30,Buy,159480.144044497,6.279,500.6879122275859
4,2023,2023-04-04,2023-04-06,Sell,159480.144044497,6.414,511.45282195070183
4,2023,2023-05-11,2023-05-12,Buy,165674.9755925301,6.168,510.94162472733296
4,2023,2023-05-17,2023-05-18,Sell,165674.9755925301,6.154,509.7818998982151
4,2023,2023-07-10,2023-07-11,Buy,167276.19404233372,6.089,509.2723727618577
4,2023,2023-07-14,2023-07-17,Sell,167276.19404233372,6.119,511.78151567252
4,2023,2023-07-18,2023-07-19,Buy,167794.54871011613,6.094,511.2699899196159
4,2023,2023-07-24,2023-07-25,Sell,167794.54871011613,6.07,509.2564553352025
4,2023,2023-09-15,2023-09-18,Buy,175430.15633822224,5.8,508.74745338084176
4,2023,2023-09-21,2023-09-22,Sell,175430.15633822224,5.703,500.23909079844077
4,2023,2023-10-11,2023-10-12,Buy,173641.10552543102,5.756,499.73910170211457
4,2023,2023-10-17,2023-10-18,Sell,173641.10552543102,5.684,493.488021903275
4,2023,2023-11-02,2023-11-03,Buy,177176.92021637817,5.565,492.99478050204925
4,2023,2023-11-08,2023-11-09,Sell,177176.92021637817,5.7,504.95422261667784
4,2023,2023-12-15,2023-12-18,Buy,182771.56548731777,5.52,504.4495207449654
4,2023,2023-12-21,2023-12-22,Sell,182771.56548731777,5.421,495.40232825337483
4,2024,2024-03-14,2024-03-15,Buy,182958.12737965633,5.463,499.75012493750546
4,2024,2024-03-20,2024-03-21,Sell,182958.12737965633,5.588,511.1850078987598
4,2024,2024-06-03,2024-06-04,Buy,193107.98954646726,5.289,510.6740783555433
4,2024,2024-06-07,2024-06-11,Sell,193107.98954646726,5.227,504.68773067969227
4,2024,2024-11-26,2024-11-27,Buy,174397.54243056694,5.782,504.183295166702
4,2024,2024-12-02,2024-12-03,Sell,174397.54243056694,6.038,526.5061805978817
4,2025,2025-01-23,2025-01-24,Buy,179475.71375023568,5.569,499.75012493750546
4,2025,2025-02-06,2025-02-07,Sell,179475.71375023568,5.744,515.4542498906769
4,2025,2025-03-25,2025-03-26,Buy,173584.7137162016,5.933,514.939053239068
4,2025,2025-03-31,2025-04-01,Sell,173584.7137162016,5.864,508.9503806159031
4,2025,2025-04-24,2025-04-25,Buy,181262.63265001908,5.61,508.441684583202
4,2025,2025-04-30,2025-05-06,Sell,181262.63265001908,5.655,512.520093817929
4,2025,2025-11-20,2025-11-21,Buy,144268.19663457086,7.098,512.0078298560111
4,2025,2025-11-26,2025-11-27,Sell,144268.19663457086,7.065,509.62740461162167
4,2026YTD,2026-04-02,2026-04-03,Buy,129855.82043329382,7.697,499.75012493750546
4,2026YTD,2026-04-09,2026-04-10,Sell,129855.82043329382,8.015,520.397200386425
4,2026YTD,2026-08-03,2026-08-04,Buy,139190.64611903735,7.47,519.8770632545929
4,2026YTD,2026-08-07,2026-08-10,Sell,139190.64611903735,8.002,556.9017751222685
4,2026YTD,2026-09-03,2026-09-04,Buy,142178.67407586967,7.826,556.3451516588684
4,2021_2026YTD,2021-03-10,2021-03-11,Buy,148912.43293728583,6.712,499.75012493750546
4,2021_2026YTD,2021-03-16,2021-03-17,Sell,148912.43293728583,6.841,509.35497686198624
4,2021_2026YTD,2021-05-21,2021-05-24,Buy,140235.87610178796,7.257,508.84587643528357
4,2021_2026YTD,2021-05-27,2021-05-28,Sell,140235.87610178796,7.432,521.1165155942441
4,2021_2026YTD,2022-08-04,2022-08-05,Buy,147749.5840802309,7.047,520.5956595066236
4,2021_2026YTD,2022-08-10,2022-08-11,Sell,147749.5840802309,7.265,536.7003641714388
4,2021_2026YTD,2022-10-25,2022-10-26,Buy,182368.68436168073,5.88,536.1639320233371
4,2021_2026YTD,2022-10-31,2022-11-01,Sell,182368.68436168073,5.824,531.0576088612142
4,2021_2026YTD,2022-12-02,2022-12-05,Buy,170697.17395381577,6.216,530.5268166484311
4,2021_2026YTD,2022-12-08,2022-12-09,Sell,170697.17395381577,6.19,528.30775338706
4,2021_2026YTD,2023-02-17,2023-02-20,Buy,168029.19759807023,6.282,527.7797096555587
4,2021_2026YTD,2023-02-23,2023-02-24,Sell,168029.19759807023,6.368,535.0049651522556
4,2021_2026YTD,2023-03-06,2023-03-07,Buy,167021.9461112192,6.4,534.4702275558375
4,2021_2026YTD,2023-03-10,2023-03-13,Sell,167021.9461112192,6.22,519.4382524058917
4,2021_2026YTD,2023-03-20,2023-03-21,Buy,167420.25286104772,6.199,518.9190737428144
4,2021_2026YTD,2023-03-24,2023-03-27,Sell,167420.25286104772,6.323,529.2991294202023
4,2021_2026YTD,2023-03-29,2023-03-30,Buy,168424.93862337578,6.279,528.7700948079582
4,2021_2026YTD,2023-04-04,2023-04-06,Sell,168424.93862337578,6.414,540.1387781651662
4,2021_2026YTD,2023-05-11,2023-05-12,Buy,174967.2209213433,6.168,539.5989093214739
4,2021_2026YTD,2023-05-17,2023-05-18,Sell,174967.2209213433,6.154,538.3741387749734
4,2021_2026YTD,2023-07-10,2023-07-11,Buy,176658.24722901674,6.089,537.8360336886253
4,2021_2026YTD,2023-07-14,2023-07-17,Sell,176658.24722901674,6.119,540.4859073971768
4,2021_2026YTD,2023-07-18,2023-07-19,Buy,177205.6749582144,6.094,539.945691597648
4,2021_2026YTD,2023-07-24,2023-07-25,Sell,177205.6749582144,6.07,537.8192234981808
4,2021_2026YTD,2023-09-15,2023-09-18,Buy,185269.54243100234,5.8,537.2816730497871
4,2021_2026YTD,2023-09-21,2023-09-22,Sell,185269.54243100234,5.703,528.2961002420033
4,2021_2026YTD,2023-10-11,2023-10-12,Buy,183380.14876921586,5.756,527.7680681578349
4,2021_2026YTD,2023-10-17,2023-10-18,Sell,183380.14876921586,5.684,521.1663828021116
4,2021_2026YTD,2023-11-02,2023-11-03,Buy,187114.2774024346,5.565,520.6454768722178
4,2021_2026YTD,2023-11-08,2023-11-09,Sell,187114.2774024346,5.7,533.2756905969387
4,2021_2026YTD,2023-12-15,2023-12-18,Buy,193022.7106561358,5.52,532.7426814108621
4,2021_2026YTD,2023-12-21,2023-12-22,Sell,193022.7106561358,5.421,523.1880572334561
4,2021_2026YTD,2024-03-14,2024-03-15,Buy,191347.29293044834,5.463,522.6651306394488
4,2021_2026YTD,2024-03-20,2024-03-21,Sell,191347.29293044834,5.588,534.6243364476727
4,2021_2026YTD,2024-06-03,2024-06-04,Buy,201962.55598026243,5.289,534.0899792897981
4,2021_2026YTD,2024-06-07,2024-06-11,Sell,201962.55598026243,5.227,527.8291400544159
4,2021_2026YTD,2024-11-26,2024-11-27,Buy,182394.18010966454,5.782,527.3015746970195
4,2021_2026YTD,2024-12-02,2024-12-03,Sell,182394.18010966454,6.038,550.6480297510773
4,2021_2026YTD,2025-01-23,2025-01-24,Buy,197557.06838130645,5.569,550.0976569077466
4,2021_2026YTD,2025-02-06,2025-02-07,Sell,197557.06838130645,5.744,567.3839003911121
4,2021_2026YTD,2025-03-25,2025-03-26,Buy,191072.5771248596,5.933,566.8168000408914
4,2021_2026YTD,2025-03-31,2025-04-01,Sell,191072.5771248596,5.864,560.2247961300884
4,2021_2026YTD,2025-04-24,2025-04-25,Buy,199524.0111609163,5.61,559.6648513062391
4,2021_2026YTD,2025-04-30,2025-05-06,Sell,199524.0111609163,5.655,564.1541415574909
4,2021_2026YTD,2025-11-20,2025-11-21,Buy,158802.55546690227,7.098,563.5902693520766
4,2021_2026YTD,2025-11-26,2025-11-27,Sell,158802.55546690227,7.065,560.9700271868323
4,2021_2026YTD,2026-04-02,2026-04-03,Buy,145617.60101454763,7.697,560.409337504534
4,2021_2026YTD,2026-04-09,2026-04-10,Sell,145617.60101454763,8.015,583.5625360657997
4,2021_2026YTD,2026-08-03,2026-08-04,Buy,156085.47929456073,7.47,582.9792651650496
4,2021_2026YTD,2026-08-07,2026-08-10,Sell,156085.47929456073,8.002,624.4980026575375
4,2021_2026YTD,2026-09-03,2026-09-04,Buy,159436.19134879505,7.826,623.873816747684
5,2021,2021-03-10,2021-03-11,Buy,148912.43293728583,6.712,499.75012493750546
5,2021,2021-03-17,2021-03-18,Sell,148912.43293728583,6.895,513.3756125512929
5,2021,2021-05-21,2021-05-24,Buy,141342.8396026645,7.257,512.8624934982508
5,2021,2021-05-28,2021-05-31,Sell,141342.8396026645,7.43,525.0886491238986
5,2022,2022-08-04,2022-08-05,Buy,141833.4397438715,7.047,499.75012493750546
5,2022,2022-08-11,2022-08-12,Sell,141833.4397438715,7.37,522.6562254561666
5,2022,2022-10-25,2022-10-26,Buy,177596.54096198108,5.88,522.1338304281235
5,2022,2022-11-01,2022-11-02,Sell,177596.54096198108,5.95,528.3497093618937
5,2022,2022-12-02,2022-12-05,Buy,169826.777250761,6.216,527.8216236953158
5,2022,2022-12-09,2022-12-12,Sell,169826.777250761,6.195,526.0384425342322
5,2023,2023-02-17,2023-02-20,Buy,159105.42022844037,6.282,499.75012493750546
5,2023,2023-02-24,2023-02-27,Sell,159105.42022844037,6.341,504.44373483427023
5,2023,2023-03-06,2023-03-07,Buy,157481.1072485173,6.4,503.93954319518525
5,2023,2023-03-13,2023-03-14,Sell,157481.1072485173,6.242,491.49853572262253
5,2023,2023-03-20,2023-03-21,Buy,158414.9968747716,6.199,491.0072828133125
5,2023,2023-03-27,2023-03-28,Sell,158414.9968747716,6.321,500.67059762271566
5,2023,2023-03-29,2023-03-30,Buy,159315.23402939533,6.279,500.17017723526806
5,2023,2023-04-06,2023-04-07,Sell,159315.23402939533,6.426,511.8798469364472
5,2023,2023-05-11,2023-05-12,Buy,165813.30184874457,6.168,511.3682229014812
5,2023,2023-05-18,2023-05-19,Sell,165813.30184874457,6.145,509.4613699302676
5,2023,2023-07-10,2023-07-11,Buy,167171.0176264479,6.089,508.95216316368897
5,2023,2023-07-17,2023-07-18,Sell,167171.0176264479,6.111,510.7910443576115
5,2023,2023-07-18,2023-07-19,Buy,167469.8091831776,6.094,510.28050858108327
5,2023,2023-07-25,2023-07-26,Sell,167469.8091831776,6.117,512.2064113867486
5,2023,2023-09-15,2023-09-18,Buy,176446.36584502758,5.8,511.694460950559
5,2023,2023-09-22,2023-09-25,Sell,176446.36584502758,5.8,511.69446095058
5,2023,2023-10-11,2023-10-12,Buy,177617.4503853371,5.756,511.1830222089775
5,2023,2023-10-18,2023-10-19,Sell,177617.4503853371,5.605,497.7729047049073
5,2023,2023-11-02,2023-11-03,Buy,178715.320956792,5.565,497.275380562176
5,2023,2023-11-09,2023-11-10,Sell,178715.320956792,5.68,507.55151151728927
5,2023,2023-12-15,2023-12-18,Buy,183711.67161402295,5.52,507.04421365458984
5,2023,2023-12-22,2023-12-25,Sell,183711.67161402295,5.408,496.7563600443181
5,2024,2024-03-14,2024-03-15,Buy,182958.12737965633,5.463,499.75012493750546
5,2024,2024-03-21,2024-03-22,Sell,182958.12737965633,5.547,507.4343662874768
5,2024,2024-06-03,2024-06-04,Buy,191691.12706053216,5.289,506.92718551156577
5,2024,2024-06-11,2024-06-12,Sell,191691.12706053216,5.245,502.7099807162456
5,2024,2024-11-26,2024-11-27,Buy,173714.1203614338,5.782,502.2075219647959
5,2024,2024-12-03,2024-12-04,Sell,173714.1203614338,6.02,522.8795022879157
5,2025,2025-01-23,2025-01-24,Buy,179475.71375023568,5.569,499.75012493750546
5,2025,2025-02-07,2025-02-10,Sell,179475.71375023568,5.843,524.3382977213136
5,2025,2025-03-25,2025-03-26,Buy,176576.51153268904,5.933,523.8142214616528
5,2025,2025-04-01,2025-04-02,Sell,176576.51153268904,5.879,519.0466556503394
5,2025,2025-04-24,2025-04-25,Buy,184858.4201027879,5.61,518.5278683882207
5,2025,2025-05-06,2025-05-07,Sell,184858.4201027879,5.798,535.9045598779821
5,2025,2025-11-20,2025-11-21,Buy,150850.64050055647,7.098,535.3689231364988
5,2025,2025-11-27,2025-11-28,Sell,150850.64050055647,7.048,531.5976571239611
5,2026YTD,2026-04-02,2026-04-03,Buy,129855.82043329382,7.697,499.75012493750546
5,2026YTD,2026-04-10,2026-04-13,Sell,129855.82043329382,7.985,518.4493630799255
5,2026YTD,2026-08-03,2026-08-04,Buy,138669.6580487228,7.47,517.9311728118919
5,2026YTD,2026-08-10,2026-08-11,Sell,138669.6580487228,7.993,554.1932883917208
5,2026YTD,2026-09-03,2026-09-04,Buy,141487.18938448612,7.826,553.6393720614724
5,2021_2026YTD,2021-03-10,2021-03-11,Buy,148912.43293728583,6.712,499.75012493750546
5,2021_2026YTD,2021-03-17,2021-03-18,Sell,148912.43293728583,6.895,513.3756125512929
5,2021_2026YTD,2021-05-21,2021-05-24,Buy,141342.8396026645,7.257,512.8624934982508
5,2021_2026YTD,2021-05-28,2021-05-31,Sell,141342.8396026645,7.43,525.0886491238986
5,2021_2026YTD,2022-08-04,2022-08-05,Buy,148875.78342213502,7.047,524.5638228878379
5,2021_2026YTD,2022-08-11,2022-08-12,Sell,148875.78342213502,7.37,548.6072619105676
5,2021_2026YTD,2022-10-25,2022-10-26,Buy,186414.6016378247,5.88,548.0589288151823
5,2021_2026YTD,2022-11-01,2022-11-02,Sell,186414.6016378247,5.95,554.5834398725285
5,2021_2026YTD,2022-12-02,2022-12-05,Buy,178259.05199028293,6.216,554.0291335857473
5,2021_2026YTD,2022-12-09,2022-12-12,Sell,178259.05199028293,6.195,552.1574135399014
5,2021_2026YTD,2023-02-17,2023-02-20,Buy,175614.62338971597,6.282,551.6055320671294
5,2021_2026YTD,2023-02-24,2023-02-27,Sell,175614.62338971597,6.341,556.7861634570945
5,2021_2026YTD,2023-03-06,2023-03-07,Buy,173821.7673586225,6.4,556.2296555475332
5,2021_2026YTD,2023-03-13,2023-03-14,Sell,173821.7673586225,6.242,542.4977359262608
5,2021_2026YTD,2023-03-20,2023-03-21,Buy,174852.55986567057,6.199,541.9555093036033
5,2021_2026YTD,2023-03-27,2023-03-28,Sell,174852.55986567057,6.321,552.6215154554518
5,2021_2026YTD,2023-03-29,2023-03-30,Buy,175846.20803079082,6.279,552.0691701127216
5,2021_2026YTD,2023-04-06,2023-04-07,Sell,175846.20803079082,6.426,564.993866402931
5,2021_2026YTD,2023-05-11,2023-05-12,Buy,183018.53271474817,6.168,564.4291548922192
5,2021_2026YTD,2023-05-18,2023-05-19,Sell,183018.53271474817,6.145,562.3244417660637
5,2021_2026YTD,2023-07-10,2023-07-11,Buy,184517.128706194,6.089,561.7623983458616
5,2021_2026YTD,2023-07-17,2023-07-18,Sell,184517.128706194,6.111,563.7920867617757
5,2021_2026YTD,2023-07-18,2023-07-19,Buy,184846.92367252376,6.094,563.2285764301196
5,2021_2026YTD,2023-07-25,2023-07-26,Sell,184846.92367252376,6.117,565.3543160524139
5,2021_2026YTD,2023-09-15,2023-09-18,Buy,194754.91181801778,5.8,564.7892442722805
5,2021_2026YTD,2023-09-22,2023-09-25,Sell,194754.91181801778,5.8,564.7892442722515
5,2021_2026YTD,2023-10-11,2023-10-12,Buy,196047.51121663468,5.756,564.2247372814454
5,2021_2026YTD,2023-10-18,2023-10-19,Sell,196047.51121663468,5.605,549.4231501846187
5,2021_2026YTD,2023-11-02,2023-11-03,Buy,197259.29976953176,5.565,548.8740016086958
5,2021_2026YTD,2023-11-09,2023-11-10,Sell,197259.29976953176,5.68,560.2164113454701
5,2021_2026YTD,2023-12-15,2023-12-18,Buy,202774.08510954576,5.52,559.6564749022946
5,2021_2026YTD,2023-12-22,2023-12-25,Sell,202774.08510954576,5.408,548.3011261362118
5,2021_2026YTD,2024-03-14,2024-03-15,Buy,200531.97840879805,5.463,547.7530990235973
5,2021_2026YTD,2024-03-21,2024-03-22,Sell,200531.97840879805,5.547,556.1754421168014
5,2021_2026YTD,2024-06-03,2024-06-04,Buy,210103.8172143813,5.289,555.6195446234196
5,2021_2026YTD,2024-06-11,2024-06-12,Sell,210103.8172143813,5.245,550.997260644715
5,2021_2026YTD,2024-11-26,2024-11-27,Buy,190400.0479920512,5.782,550.44653874496
5,2021_2026YTD,2024-12-03,2024-12-04,Sell,190400.0479920512,6.02,573.1041444560741
5,2021_2026YTD,2025-01-23,2025-01-24,Buy,205613.69248356466,5.569,572.531326720491
5,2021_2026YTD,2025-02-07,2025-02-10,Sell,205613.69248356466,5.843,600.7004025907341
5,2021_2026YTD,2025-03-25,2025-03-26,Buy,202292.26441538674,5.933,600.100002388237
5,2021_2026YTD,2025-04-01,2025-04-02,Sell,202292.26441538674,5.879,594.6381112490293
5,2021_2026YTD,2025-04-24,2025-04-25,Buy,211780.3102703211,5.61,594.0437703081407
5,2021_2026YTD,2025-05-06,2025-05-07,Sell,211780.3102703211,5.798,613.9511194736608
5,2021_2026YTD,2025-11-20,2025-11-21,Buy,172819.80140217973,7.098,613.3374751762021
5,2021_2026YTD,2025-11-27,2025-11-28,Sell,172819.80140217973,7.048,609.0169801412814
5,2021_2026YTD,2026-04-02,2026-04-03,Buy,158089.71482849217,7.697,608.4082675173413
5,2021_2026YTD,2026-04-10,2026-04-13,Sell,158089.71482849217,7.985,631.173186452755
