event_id,sample_id,entity_scope,primary_entity,event_type,direction,event_summary,evidence_excerpt,duplicate_event_key
EX36-E017,EX36-046,SEMICONDUCTOR_CHAIN,中微半导,EARNINGS_CHANGE,POSITIVE,2026年上半年归母净利润同比增长98.48%,归母净利润1.72亿元同比大幅增长98.48%,中微半导|EARNINGS_CHANGE|2026H1
EX36-E018,EX36-046,SEMICONDUCTOR_CHAIN,珠海博雅,INDUSTRIAL_INVESTMENT,AMBIGUOUS,中微半导投入1.66亿元取得存储芯片企业股权,投入1.66亿元成为其第二大股东,珠海博雅|INDUSTRIAL_INVESTMENT|2026H1
EX36-E019,EX36-047,SEMICONDUCTOR_CHAIN,新松半导体,CAPITAL_ALLOCATION,AMBIGUOUS,半导体装备企业挂牌增资并拟出让不超过5%股权,增资项目正在北京产权交易所挂牌,新松半导体|CAPITAL_ALLOCATION|20260316
EX36-E020,EX36-048,DIRECT_COMPONENT,晶晨股份,M_AND_A,AMBIGUOUS,拟以3.16亿元现金收购芯迈微100%股权,收购对价合计为3.16亿元,晶晨股份|M_AND_A|20250915
EX36-E021,EX36-049,SEMICONDUCTOR_CHAIN,中微半导,EARNINGS_CHANGE,POSITIVE,2026年上半年归母净利润同比增长98.48%,归属于上市公司股东的净利润1.72亿元,中微半导|EARNINGS_CHANGE|2026H1
EX36-E022,EX36-049,SEMICONDUCTOR_CHAIN,珠海博雅,INDUSTRIAL_INVESTMENT,AMBIGUOUS,中微半导投入1.66亿元成为珠海博雅第二大股东,投入资金1.66亿元,珠海博雅|INDUSTRIAL_INVESTMENT|2026H1
EX36-E023,EX36-049,SEMICONDUCTOR_INDUSTRY,国民技术,PRICE_CHANGE,POSITIVE,宣布自2026年10月起上调部分产品价格10%至20%,部分产品价格进行10%至20%的上调,国民技术|PRICE_CHANGE|20261001
EX36-E024,EX36-052,SEMICONDUCTOR_CHAIN,中微半导,EARNINGS_CHANGE,POSITIVE,2026年上半年扣非净利润同比增长109.74%,扣非净利润1.59亿元同比+109.74%,中微半导|EARNINGS_CHANGE|2026H1
EX36-E025,EX36-052,SEMICONDUCTOR_INDUSTRY,国民技术,PRICE_CHANGE,POSITIVE,部分MCU产品宣布自2026年10月起涨价10%至20%,部分产品涨价10%-20%,国民技术|PRICE_CHANGE|20261001
EX36-E026,EX36-055,SEMICONDUCTOR_CHAIN,华大九天,M_AND_A,AMBIGUOUS,筹划收购芯和半导体控股权,华大九天公告正在筹划以发行股份及支付现金等方式购买,华大九天|M_AND_A|20250317
EX36-E027,EX36-056,AI_CORE_DEMAND,顺络电子,ORDER_DEMAND,POSITIVE,AI数据中心相关产品进入核心客户供应链并实现配套供应,已进入行业核心大客户的供应链体系,顺络电子|ORDER_DEMAND|20260313
EX36-E028,EX36-104,DIRECT_COMPONENT,传音控股,EARNINGS_CHANGE,POSITIVE,2026年上半年归母净利润同比增长46.22%,归母净利润17.73亿元较上年同期增长46.22%,传音控股|EARNINGS_CHANGE|2026H1
EX36-E029,EX36-104,DIRECT_COMPONENT,传音控股,LEGAL_RESOLUTION,POSITIVE,与爱立信就专利争议达成和解,已与爱立信就相关专利争议达成和解,传音控股|LEGAL_RESOLUTION|20260817
EX36-E030,EX36-110,SEMICONDUCTOR_CHAIN,洁美科技,CAPEX,POSITIVE,追加4.28亿元扩大半导体离型膜产能,追加项目总投资人民币42800万元,洁美科技|CAPEX|20260817
