sample_id,relevance,review_evidence_excerpt,review_reason
EX36-022,UNRESOLVED,最快4月起调升报价,UNVERIFIED_PRICE_RUMOR
EX36-023,CATALYST_RELEVANT,目前新签订单持续增长在手订单饱满,SEMICONDUCTOR_ORDER_DEMAND
EX36-024,CATALYST_RELEVANT,SK海力士宣布将在韩国投资384亿美元建设晶圆厂,SEMICONDUCTOR_GLOBAL_CAPEX
EX36-025,NOT_CATALYST,港交所有5家公司新股招股,IPO_DIGEST
EX36-026,CATALYST_RELEVANT,普冉股份2026年上半年归母净利润约8.25亿元同比增长约1925%,SEMICONDUCTOR_EARNINGS
EX36-027,CATALYST_RELEVANT,2Q26收入30.1亿美元YoY+36.1%,DIRECT_COMPONENT_FUNDAMENTAL
EX36-028,NOT_CATALYST,机构大幅上调41股全年业绩预测,BROKER_FORECAST
EX36-029,NOT_CATALYST,财通证券发布研报称,BROKER_OPINION
EX36-030,CATALYST_RELEVANT,合同金额超1亿元,DIRECT_COMPONENT_ORDER
EX36-031,CATALYST_RELEVANT,截至2026年7月末公司在手算力长期框架订单150.82亿元,AI_COMPUTE_ORDER_DEMAND
EX36-032,NOT_CATALYST,创业板指收涨3.14%,MARKET_RECAP
EX36-033,NOT_CATALYST,历史数据充分验证其超额收益能力,ETF_PROMOTION
EX36-034,NOT_CATALYST,中信证券发布研报称,BROKER_OPINION
EX36-035,NOT_CATALYST,举办共话机器人智链未来主题研讨会,GENERIC_CORPORATE_PR
EX36-036,NOT_CATALYST,产业领袖峰会圆满举行,CONFERENCE_RECAP
EX36-037,NOT_CATALYST,处于研发验证阶段尚未量产,ROUTINE_DISCLOSURE_NO_NEW_PROGRESS
EX36-038,CATALYST_RELEVANT,以自有资金1.6亿元,SEMICONDUCTOR_INVESTMENT
EX36-039,NOT_CATALYST,积极推进AI应用,GENERIC_TECHNOLOGY_PR
EX36-040,NOT_CATALYST,被投资者起诉获受理,SINGLE_NAME_LEGAL_DUPLICATE
EX36-041,NOT_CATALYST,惠泰医疗中期净利增62%,NON_TARGET_INDUSTRY
EX36-042,NOT_CATALYST,目前上述业务仍处于推进阶段对公司业绩尚不构成重大影响,ROUTINE_DISCLOSURE_NO_MATERIAL_IMPACT
EX36-043,NOT_CATALYST,股价大涨300%后被证监会立案调查,DISTANT_SINGLE_NAME_LEGAL
EX36-044,CATALYST_RELEVANT,核心技术人员梁军因与公司存在分歧,DIRECT_COMPONENT_PERSONNEL_AND_EARNINGS
EX36-045,CATALYST_RELEVANT,国产半导体设备已进入持续满产状态,SEMICONDUCTOR_CAPACITY_AND_DEMAND
EX36-046,CATALYST_RELEVANT,归母净利润1.72亿元同比大幅增长98.48%,SEMICONDUCTOR_EARNINGS_AND_INVESTMENT
EX36-047,CATALYST_RELEVANT,增资项目正在北京产权交易所挂牌,SEMICONDUCTOR_CAPITAL_ALLOCATION
EX36-048,CATALYST_RELEVANT,收购对价合计为3.16亿元,DIRECT_COMPONENT_M_AND_A
EX36-049,CATALYST_RELEVANT,同比大幅增长98.48%,SEMICONDUCTOR_EARNINGS_AND_PRICE_ACTION
EX36-050,NOT_CATALYST,傅里叶半导体被艾为电子起诉侵权,SINGLE_NAME_LEGAL
EX36-051,NOT_CATALYST,沪指早盘震荡调整,MARKET_RECAP
EX36-052,CATALYST_RELEVANT,扣非净利润1.59亿元同比+109.74%,SEMICONDUCTOR_EARNINGS_AND_PRICE_ACTION
EX36-053,NOT_CATALYST,恒指收涨1.45%,MARKET_RECAP
EX36-054,NOT_CATALYST,A股存储芯片狂飙,MARKET_RECAP
EX36-055,CATALYST_RELEVANT,正在筹划以发行股份及支付现金等方式购买芯和半导体,SEMICONDUCTOR_M_AND_A
EX36-056,CATALYST_RELEVANT,已进入行业核心大客户的供应链体系,AI_INFRASTRUCTURE_ORDER_DEMAND
EX36-057,NOT_CATALYST,将于2026年8月18日在上海证券交易所科创板上市,NON_COMPONENT_LISTING
EX36-058,NOT_CATALYST,A股午盘三大指数收涨,MARKET_RECAP
EX36-059,NOT_CATALYST,早盘盘面回顾,MARKET_RECAP
EX36-060,NOT_CATALYST,交易风险的提醒,ROUTINE_TRADING_RISK_NOTICE
EX36-061,NOT_CATALYST,上海股份制银行首单科技企业并购贷款,DISTANT_FINANCIAL_SERVICE
EX36-062,NOT_CATALYST,双双卸任副总经理,NON_TARGET_INDUSTRY
EX36-063,NOT_CATALYST,八成收入来自单一大客户,NON_TARGET_INDUSTRY
EX36-064,NOT_CATALYST,国信证券发布研报,BROKER_OPINION
EX36-065,NOT_CATALYST,瑞众人寿举牌中信银行,NON_TARGET_INDUSTRY
EX36-066,NOT_CATALYST,黄金价格波动率处于历史高位,NON_TARGET_INDUSTRY
EX36-067,NOT_CATALYST,BIPV概念龙头瞬间涨停,NON_TARGET_INDUSTRY
EX36-068,NOT_CATALYST,尚德机构投诉量居前,NON_TARGET_INDUSTRY
EX36-069,NOT_CATALYST,金融消费者权益保护教育宣传活动,NON_TARGET_INDUSTRY
EX36-070,NOT_CATALYST,宁德时代宜春锂矿项目,NON_TARGET_INDUSTRY
EX36-071,NOT_CATALYST,打通金融末梢神经,NON_TARGET_INDUSTRY
EX36-072,NOT_CATALYST,计划转投港股,NON_TARGET_INDUSTRY
EX36-073,NOT_CATALYST,315曝光漂白鸡爪,NON_TARGET_INDUSTRY
EX36-074,NOT_CATALYST,2026年中报净利润为3689.50万元,NON_COMPONENT_NON_TARGET_INDUSTRY
EX36-075,NOT_CATALYST,石家庄科林电气股份有限公司,NON_TARGET_INDUSTRY
EX36-076,NOT_CATALYST,张家界上半年扭亏,NON_TARGET_INDUSTRY
EX36-077,NOT_CATALYST,调整爱玛转债转股价格,NON_TARGET_INDUSTRY
EX36-078,NOT_CATALYST,四川赣锋锂业三期项目即将投产,NON_TARGET_INDUSTRY
EX36-079,NOT_CATALYST,宁德时代再创上市新高,NON_TARGET_INDUSTRY
EX36-080,NOT_CATALYST,财富管理不是简单的一次销售,NON_TARGET_INDUSTRY
EX36-081,NOT_CATALYST,7月27日长鑫科技登陆科创板,STALE_RETROSPECTIVE
EX36-082,NOT_CATALYST,公司期货投资新增平仓亏损,NON_TARGET_INDUSTRY
EX36-083,NOT_CATALYST,富安娜1.2亿元理财逾期,NON_TARGET_INDUSTRY
EX36-084,NOT_CATALYST,ST南新财务数据失真,NON_TARGET_INDUSTRY
EX36-085,NOT_CATALYST,据不完全统计上周有多家上市公司,AGGREGATED_WEEKLY_RECAP
EX36-086,NOT_CATALYST,沪深股市公告与交易提示,AGGREGATED_DAILY_DIGEST
EX36-087,NOT_CATALYST,沪深股市公告与交易提示,AGGREGATED_DAILY_DIGEST
EX36-088,NOT_CATALYST,剥离房地产开发业务,NON_TARGET_INDUSTRY
EX36-089,NOT_CATALYST,布局卫星产业链业务,NON_TARGET_INDUSTRY
EX36-090,NOT_CATALYST,乳制品业基本面底部确认,NON_TARGET_INDUSTRY
EX36-091,NOT_CATALYST,存在三年以上鸿沟,DISTANT_INDUSTRY_EXPOSURE
EX36-092,NOT_CATALYST,闲置募集资金进行现金管理,NON_TARGET_INDUSTRY
EX36-093,NOT_CATALYST,国元证券存6大违规硬伤,NON_TARGET_INDUSTRY
EX36-094,NOT_CATALYST,菜籽油菜花节在蓉启幕,NON_TARGET_INDUSTRY
EX36-095,NOT_CATALYST,国际技术交易中心正式启动运营,GENERIC_TECHNOLOGY_POLICY
EX36-096,NOT_CATALYST,分布式能源大会,NON_TARGET_INDUSTRY
EX36-097,NOT_CATALYST,做好财富客户经营,NON_TARGET_INDUSTRY
EX36-098,NOT_CATALYST,两款高血压药物如期获批上市,NON_TARGET_INDUSTRY
EX36-099,NOT_CATALYST,医药行业深度研究,NON_TARGET_INDUSTRY
EX36-100,NOT_CATALYST,连续三日一字跌停,NON_TARGET_INDUSTRY
EX36-101,NOT_CATALYST,营收净利双降,NON_TARGET_INDUSTRY
EX36-102,NOT_CATALYST,我乐家居股东违规减持,NON_TARGET_INDUSTRY
EX36-103,NOT_CATALYST,锂价易涨难跌,NON_TARGET_INDUSTRY
EX36-104,CATALYST_RELEVANT,归母净利润17.73亿元较上年同期增长46.22%,DIRECT_COMPONENT_FUNDAMENTAL
EX36-105,NOT_CATALYST,紫金保险调整股权与人事,NON_TARGET_INDUSTRY
EX36-106,NOT_CATALYST,股票交易异常波动的公告,NON_TARGET_INDUSTRY
EX36-107,NOT_CATALYST,获汽车智能化巨额订单,DISTANT_INDUSTRY_EXPOSURE
EX36-108,NOT_CATALYST,安徽建工子公司连中两标,NON_TARGET_INDUSTRY
EX36-109,NOT_CATALYST,买卖合同纠纷提起诉讼,NON_TARGET_INDUSTRY
EX36-110,CATALYST_RELEVANT,追加项目总投资人民币42800万元,SEMICONDUCTOR_MATERIAL_CAPEX
EX36-111,NOT_CATALYST,国际技术交易中心启动运营,GENERIC_TECHNOLOGY_POLICY_DUPLICATE
EX36-112,NOT_CATALYST,2024年年报业绩变脸,NON_TARGET_INDUSTRY
EX36-113,NOT_CATALYST,申万宏源换帅,NON_TARGET_INDUSTRY
EX36-114,NOT_CATALYST,永磁铁氧体业务发展空间,NON_TARGET_INDUSTRY
EX36-115,NOT_CATALYST,利润下挫47%,NON_TARGET_INDUSTRY
EX36-116,NOT_CATALYST,洗牌已至,NON_TARGET_INDUSTRY
EX36-117,NOT_CATALYST,绿电行情向风电领域延续,NON_TARGET_INDUSTRY
EX36-118,NOT_CATALYST,漂白鸡爪影响,NON_TARGET_INDUSTRY
EX36-119,NOT_CATALYST,多氟多子公司被查,NON_TARGET_INDUSTRY
EX36-120,NOT_CATALYST,民森投资调研南山智尚,NON_TARGET_INDUSTRY
