signal_id,name,namespace,registry_category,frequency,status,config_json,output_key,s001_reference_function,observed_days,primary_state_count,primary_value_counts_json,full_value_counts_json,error_type,error
,pos_stop_V240428,pos,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,pos_stop_V240608,pos,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,pos_stop_V240614,pos,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,pos_stop_V240717,pos,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,pos_take_V240428,pos,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,zdy_stop_loss_V230406,zdy,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,zdy_take_profit_V230406,zdy,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,zdy_take_profit_V230407,zdy,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,zdy_vibrate_V230406,zdy,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,bar_limit_down_V230525,bar,kline,30m,FAILED,,,False,0,0,{},{},MissingSignalOutput,CZSC returned no identifiable signal column
,bar_zt_count_V230504,bar,kline,30m,FAILED,,,False,0,0,{},{},MissingSignalOutput,CZSC returned no identifiable signal column
,bar_limit_down_V230525,bar,kline,weekly,FAILED,,,False,0,0,{},{},MissingSignalOutput,CZSC returned no identifiable signal column
,bar_zt_count_V230504,bar,kline,weekly,FAILED,,,False,0,0,{},{},MissingSignalOutput,CZSC returned no identifiable signal column
SIG-30M-CB5BD470E25B32F0,adtm_up_dw_line_V230603,adtm,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""m"":20,""n"":30,""name"":""adtm_up_dw_line_V230603"",""th"":5}",30分钟_D1N30M20TH5_ADTMV230603,False,1378,2,"{""看多"":491,""看空"":887}","{""看多_任意_任意"":491,""看空_任意_任意"":887}",,
SIG-30M-B80E708745996504,amv_up_dw_line_V230603,amv,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""m"":120,""n"":30,""name"":""amv_up_dw_line_V230603""}",30分钟_D1N30M120_AMV能量V230603,False,1378,2,"{""看多"":743,""看空"":635}","{""看多_任意_任意"":743,""看空_任意_任意"":635}",,
SIG-30M-1897F22A5A891B13,asi_up_dw_line_V230603,asi,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""n"":30,""name"":""asi_up_dw_line_V230603"",""p"":120}",30分钟_D1N30P120_ASI多空V230603,False,1378,2,"{""看多"":480,""看空"":898}","{""看多_任意_任意"":480,""看空_任意_任意"":898}",,
SIG-30M-4E6C86E298475DE1,bar_accelerate_V221110,bar,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""name"":""bar_accelerate_V221110"",""window"":10}",30分钟_D1W10_加速V221110,False,1378,3,"{""上涨"":71,""下跌"":55,""其他"":1252}","{""上涨_任意_任意"":71,""下跌_任意_任意"":55,""其他_任意_任意"":1252}",,
SIG-30M-6DC8B9FA5078A466,bar_accelerate_V221118,bar,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""ma_type"":""SMA"",""name"":""bar_accelerate_V221118"",""timeperiod"":10,""window"":13}",30分钟_D1W13#SMA#10_加速V221118,False,1378,3,"{""上涨"":11,""下跌"":15,""其他"":1352}","{""上涨_任意_任意"":11,""下跌_任意_任意"":15,""其他_任意_任意"":1352}",,
SIG-30M-E83F2F6E6F39C8D8,bar_accelerate_V240428,bar,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""name"":""bar_accelerate_V240428"",""t"":1,""w"":21}",30分钟_D1W21T1_加速V240428,False,1378,3,"{""上涨"":142,""下跌"":149,""其他"":1087}","{""上涨_任意_任意"":142,""下跌_任意_任意"":149,""其他_任意_任意"":1087}",,
SIG-30M-C69DAE4213490B63,bar_amount_acc_V230214,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""name"":""bar_amount_acc_V230214"",""parameter_policy"":""native_defaults""}",30分钟_D2N5_累计超10千万,False,1378,1,"{""是"":1378}","{""是_任意_任意"":1378}",,
SIG-30M-770956D737EC6834,bar_big_solid_V230215,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""name"":""bar_big_solid_V230215"",""parameter_policy"":""native_defaults""}",30分钟_D1N20_MID,False,1378,2,"{""看多"":791,""看空"":587}","{""看多_大阳_任意"":589,""看多_大阴_任意"":202,""看空_大阳_任意"":211,""看空_大阴_任意"":376}",,
SIG-30M-D5D7A8AC665E6603,bar_bpm_V230227,bar,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""n"":20,""name"":""bar_bpm_V230227"",""th"":1000}",30分钟_D1N20T1000_绝对动量V230227,False,1378,4,"{""弱势"":653,""强势"":719,""超弱"":1,""超强"":5}","{""弱势_任意_任意"":653,""强势_任意_任意"":719,""超弱_任意_任意"":1,""超强_任意_任意"":5}",,
SIG-30M-0351D012F6BE879D,bar_break_V240428,bar,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""name"":""bar_break_V240428"",""w"":20}",30分钟_D1W20_事件V240428,False,1378,3,"{""其他"":1208,""收盘新低"":83,""收盘新高"":87}","{""其他_任意_任意"":1208,""收盘新低_任意_任意"":83,""收盘新高_任意_任意"":87}",,
SIG-30M-90DDF426556F8B69,bar_channel_V230508,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""name"":""bar_channel_V230508"",""parameter_policy"":""native_defaults""}",30分钟_D1M600_通道V230507,False,1378,3,"{""其他"":1225,""看多"":68,""看空"":85}","{""其他_任意_任意"":1225,""看多_任意_任意"":68,""看空_任意_任意"":85}",,
SIG-30M-A9E943E431C115D2,bar_classify_V240606,bar,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""name"":""bar_classify_V240606""}",30分钟_D1收盘位置_分类V240606,False,1378,3,"{""中间"":411,""低位"":398,""高位"":569}","{""中间_任意_任意"":411,""低位_任意_任意"":398,""高位_任意_任意"":569}",,
SIG-30M-4D26215BA9B6CE1A,bar_classify_V240607,bar,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""name"":""bar_classify_V240607""}",30分钟_D1K2收盘位置_分类V240607,False,1378,3,"{""中性"":752,""看多"":347,""看空"":279}","{""中性_任意_任意"":752,""看多_任意_任意"":347,""看空_任意_任意"":279}",,
SIG-30M-4151A9C88C781447,bar_decision_V240608,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""n"":10,""name"":""bar_decision_V240608"",""q"":80,""w"":300}",30分钟_W300N10Q80放量_决策区域V240608,False,1378,3,"{""其他"":904,""看多"":224,""看空"":250}","{""其他_任意_任意"":904,""看多_任意_任意"":224,""看空_任意_任意"":250}",,
SIG-30M-7BC1EE330975403C,bar_decision_V240616,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""n"":5,""name"":""bar_decision_V240616"",""w"":100}",30分钟_W100N5强弱_决策区域V240616,False,1378,3,"{""其他"":1334,""看多"":33,""看空"":11}","{""其他_任意_任意"":1334,""看多_任意_任意"":33,""看空_任意_任意"":11}",,
SIG-30M-A4E0E0C62CBC2773,bar_dual_thrust_V230403,bar,kline,30m,GENERATED,"{""K1"":20,""K2"":20,""N"":5,""di"":1,""freq"":""30分钟"",""name"":""bar_dual_thrust_V230403""}",30分钟_D1通道突破#5#20#20_BS辅助V230403,False,1378,3,"{""其他"":860,""看多"":280,""看空"":238}","{""其他_任意_任意"":860,""看多_任意_任意"":280,""看空_任意_任意"":238}",,
SIG-30M-60939B2E4DA16C0D,bar_eight_V230702,bar,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""name"":""bar_eight_V230702""}",30分钟_D1#8K_走势分类V230702,False,1378,5,"{""双中枢上涨"":97,""双中枢下跌"":56,""弱平衡市"":472,""强平衡市"":459,""转折平衡市"":294}","{""双中枢上涨_任意_任意"":97,""双中枢下跌_任意_任意"":56,""弱平衡市_任意_任意"":472,""强平衡市_任意_任意"":459,""转折平衡市_任意_任意"":294}",,
SIG-30M-D0804456E74F4E0F,bar_end_V221211,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""freq1"":""60分钟"",""name"":""bar_end_V221211""}",30分钟_60分钟结束_BS辅助221211,False,1378,1,"{""闭合"":1378}","{""闭合_任意_任意"":1378}",,
SIG-30M-1778790FE65D12E6,bar_fake_break_V230204,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""name"":""bar_fake_break_V230204"",""parameter_policy"":""native_defaults""}",30分钟_D1N20M5_假突破,False,1378,3,"{""其他"":1335,""看多"":26,""看空"":17}","{""其他_任意_任意"":1335,""看多_任意_任意"":26,""看空_任意_任意"":17}",,
SIG-30M-DFEC0D18E24EDDF6,bar_fang_liang_break_V221216,bar,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""ma_type"":""SMA"",""name"":""bar_fang_liang_break_V221216"",""th"":300,""timeperiod"":233}",30分钟_D1TH300#SMA#233_突破V221216,False,1378,2,"{""其他"":789,""放量突破"":589}","{""其他_其他_任意"":746,""其他_缩量回踩_任意"":43,""放量突破_其他_任意"":559,""放量突破_缩量回踩_任意"":30}",,
SIG-30M-166C11366E17D0A0,bar_mean_amount_V221112,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""name"":""bar_mean_amount_V221112"",""parameter_policy"":""native_defaults""}",30分钟_D1K10B均额_1至4千万,False,1378,1,"{""否"":1378}","{""否_任意_任意"":1378}",,
SIG-30M-9F4C3F2EA9B8B010,bar_operate_span_V221111,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""name"":""bar_operate_span_V221111"",""parameter_policy"":""native_defaults""}",30分钟_T0935#1450_时间区间,False,1378,1,"{""否"":1378}","{""否_任意_任意"":1378}",,
SIG-30M-7ED6D047D7193E5A,bar_plr_V240427,bar,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""m"":""多头"",""name"":""bar_plr_V240427"",""t"":20,""w"":60}",30分钟_D1W60T20M多头_盈亏比V240427,False,1378,3,"{""不满足"":874,""其他"":111,""满足"":393}","{""不满足_任意_任意"":874,""其他_任意_任意"":111,""满足_任意_任意"":393}",,
SIG-30M-0D20B698553AEE56,bar_polyfit_V240428,bar,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""name"":""bar_polyfit_V240428"",""w"":20}",30分钟_D1W20_分类V240428,False,1378,4,"{""减速上涨"":388,""减速下跌"":327,""加速上涨"":329,""加速下跌"":334}","{""减速上涨_任意_任意"":388,""减速下跌_任意_任意"":327,""加速上涨_任意_任意"":329,""加速下跌_任意_任意"":334}",,
SIG-30M-8480CDE42C1CAD7A,bar_r_breaker_V230326,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""name"":""bar_r_breaker_V230326""}",30分钟_RBreaker_BS辅助V230326,False,1378,3,"{""做多"":53,""做空"":41,""其他"":1284}","{""做多_反转_任意"":30,""做多_趋势_任意"":23,""做空_反转_任意"":17,""做空_趋势_任意"":24,""其他_其他_任意"":1284}",,
SIG-30M-758A25C9EC1E3B3A,bar_reversal_V230227,bar,kline,30m,GENERATED,"{""avg_bp"":300,""di"":1,""freq"":""30分钟"",""name"":""bar_reversal_V230227""}",30分钟_D1A300_反转V230227,False,1378,1,"{""其他"":1378}","{""其他_任意_任意"":1378}",,
SIG-30M-37DE76F11A7573E6,bar_section_momentum_V221112,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""name"":""bar_section_momentum_V221112"",""parameter_policy"":""native_defaults""}",30分钟_D1K10B_阈值100BP,False,1378,2,"{""上涨"":736,""下跌"":642}","{""上涨_弱势_低波动"":227,""上涨_弱势_高波动"":246,""上涨_强势_低波动"":257,""上涨_强势_高波动"":6,""下跌_弱势_低波动"":181,""下跌_弱势_高波动"":223,""下跌_强势_低波动"":233,""下跌_强势_高波动"":5}",,
SIG-30M-B06C16DE4ACFCD8A,bar_shuang_fei_V230507,bar,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""name"":""bar_shuang_fei_V230507""}",30分钟_D1双飞_短线V230507,False,1378,1,"{""其他"":1378}","{""其他_任意_任意"":1378}",,
SIG-30M-D9D10E2B1B6B6E74,bar_single_V230214,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""name"":""bar_single_V230214"",""parameter_policy"":""native_defaults""}",30分钟_D1T10_状态,False,1378,2,"{""阳线"":695,""阴线"":683}","{""阳线_其他_任意"":175,""阳线_长上影_任意"":70,""阳线_长下影_任意"":113,""阳线_长实体_任意"":337,""阴线_其他_任意"":168,""阴线_长上影_任意"":76,""阴线_长下影_任意"":146,""阴线_长实体_任意"":293}",,
SIG-30M-503B24C255FFAADB,bar_single_V230506,bar,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""n"":5,""name"":""bar_single_V230506""}",30分钟_D1单K趋势N5_BS辅助V230506,False,1378,5,"{""第1层"":16,""第2层"":271,""第3层"":773,""第4层"":299,""第5层"":19}","{""第1层_任意_任意"":16,""第2层_任意_任意"":271,""第3层_任意_任意"":773,""第4层_任意_任意"":299,""第5层_任意_任意"":19}",,
SIG-30M-16558BD8A8C1A051,bar_td9_V240616,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""n"":9,""name"":""bar_td9_V240616""}",30分钟_神奇九转N9_BS辅助V240616,False,1378,3,"{""买点"":85,""其他"":1210,""卖点"":83}","{""买点_10转_任意"":15,""买点_11转_任意"":10,""买点_12转_任意"":8,""买点_13转_任意"":7,""买点_14转_任意"":6,""买点_15转_任意"":5,""买点_16转_任意"":5,""买点_17转_任意"":1,""买点_18转_任意"":8,""买点_9转_任意"":20,""其他_任意_任意"":1210,""卖点_10转_任意"":17,""卖点_11转_任意"":10,""卖点_12转_任意"":11,""卖点_13转_任意"":2,""卖点_14转_任意"":3,""卖点_15转_任意"":3,""卖点_16转_任意"":7,""卖点_17转_任意"":1,""卖点_18转_任意"":5,""卖点_9转_任意"":24}",,
SIG-30M-CA2DC5CD6FB2D368,bar_time_V230327,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""name"":""bar_time_V230327""}",30分钟_日内时间_分段V230327,False,1378,1,"{""第8段"":1378}","{""第8段_任意_任意"":1378}",,
SIG-30M-9A3AF071B45C9866,bar_tnr_V230629,bar,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""name"":""bar_tnr_V230629"",""timeperiod"":14}",30分钟_D1TNR14_趋势V230629,False,1378,10,"{""第10层"":134,""第1层"":162,""第2层"":131,""第3层"":154,""第4层"":149,""第5层"":135,""第6层"":127,""第7层"":133,""第8层"":133,""第9层"":120}","{""第10层_任意_任意"":134,""第1层_任意_任意"":162,""第2层_任意_任意"":131,""第3层_任意_任意"":154,""第4层_任意_任意"":149,""第5层_任意_任意"":135,""第6层_任意_任意"":127,""第7层_任意_任意"":133,""第8层_任意_任意"":133,""第9层_任意_任意"":120}",,
SIG-30M-2EBFCBE9F804598E,bar_tnr_V230630,bar,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""k"":3,""name"":""bar_tnr_V230630"",""timeperiod"":14}",30分钟_D1TNR14K3_趋势V230630,False,1378,2,"{""噪音减少"":632,""噪音增加"":746}","{""噪音减少_任意_任意"":632,""噪音增加_任意_任意"":746}",,
SIG-30M-10D0C83700333C77,bar_trend_V240209,bar,kline,30m,GENERATED,"{""N"":60,""di"":1,""freq"":""30分钟"",""name"":""bar_trend_V240209""}",30分钟_D1N60趋势跟踪_BS辅助V240209,False,1378,3,"{""其他"":1054,""多头"":172,""空头"":152}","{""其他_任意_任意"":1054,""多头_任意_任意"":172,""空头_任意_任意"":152}",,
SIG-30M-9D5DC4DE2251AD3F,bar_triple_V230506,bar,kline,30m,GENERATED,"{""di"":1,""freq"":""30分钟"",""name"":""bar_triple_V230506""}",30分钟_D1三K加速_裸K形态V230506,False,1378,5,"{""三连涨"":59,""三连跌"":44,""其他"":1018,""新低跌"":131,""新高涨"":126}","{""三连涨_依次放量_任意"":21,""三连涨_依次缩量_任意"":3,""三连涨_量柱无序_任意"":35,""三连跌_依次放量_任意"":18,""三连跌_依次缩量_任意"":1,""三连跌_量柱无序_任意"":25,""其他_任意_任意"":1018,""新低跌_依次放量_任意"":71,""新低跌_依次缩量_任意"":1,""新低跌_量柱无序_任意"":59,""新高涨_依次放量_任意"":65,""新高涨_依次缩量_任意"":6,""新高涨_量柱无序_任意"":55}",,
SIG-30M-E41B5566BDB921E9,bar_vol_bs1_V230224,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""name"":""bar_vol_bs1_V230224"",""parameter_policy"":""native_defaults""}",30分钟_D1N20量价_BS1辅助,False,1378,2,"{""其他"":1373,""看空"":5}","{""其他_任意_任意"":1373,""看空_任意_任意"":5}",,
SIG-30M-C569CC6E3602AEA6,bar_vol_grow_V221112,bar,kline,30m,GENERATED,"{""di"":2,""freq"":""30分钟"",""n"":5,""name"":""bar_vol_grow_V221112""}",30分钟_D2K5B_放量V221112,False,1378,2,"{""否"":1278,""是"":100}","{""否_任意_任意"":1278,""是_任意_任意"":100}",,
SIG-30M-1DD7B73BA2D00606,bar_volatility_V241013,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""n"":10,""name"":""bar_volatility_V241013"",""w"":200}",30分钟_波动率分层W200N10_完全分类V241013,False,1378,3,"{""中波动"":438,""低波动"":510,""高波动"":430}","{""中波动_任意_任意"":438,""低波动_任意_任意"":510,""高波动_任意_任意"":430}",,
SIG-30M-719684AE3B754EB0,bar_weekday_V230328,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""name"":""bar_weekday_V230328""}",30分钟_周内时间_分段V230328,False,1378,5,"{""周一"":268,""周三"":278,""周二"":278,""周五"":274,""周四"":280}","{""周一_任意_任意"":268,""周三_任意_任意"":278,""周二_任意_任意"":278,""周五_任意_任意"":274,""周四_任意_任意"":280}",,
SIG-30M-AEBAB3F5E7699053,bar_window_ps_V230731,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""l"":5,""m"":40,""n"":8,""name"":""bar_window_ps_V230731"",""w"":5}",30分钟_W5M40N8L5_支撑压力位V230731,False,1378,5,"{""压力N1"":152,""压力N2"":205,""压力N3"":215,""压力N4"":243,""压力N5"":563}","{""压力N1_支撑N1_当前N1"":152,""压力N2_支撑N1_当前N1"":124,""压力N2_支撑N1_当前N2"":66,""压力N2_支撑N2_当前N2"":15,""压力N3_支撑N1_当前N1"":53,""压力N3_支撑N1_当前N2"":26,""压力N3_支撑N1_当前N3"":57,""压力N3_支撑N2_当前N2"":26,""压力N3_支撑N2_当前N3"":42,""压力N3_支撑N3_当前N3"":11,""压力N4_支撑N1_当前N1"":24,""压力N4_支撑N1_当前N2"":4,""压力N4_支撑N1_当前N3"":8,""压力N4_支撑N1_当前N4"":27,""压力N4_支撑N2_当前N2"":13,""压力N4_支撑N2_当前N3"":19,""压力N4_支撑N2_当前N4"":32,""压力N4_支撑N3_当前N3"":41,""压力N4_支撑N3_当前N4"":56,""压力N4_支撑N4_当前N4"":19,""压力N5_支撑N1_当前N1"":22,""压力N5_支撑N1_当前N2"":4,""压力N5_支撑N1_当前N4"":2,""压力N5_支撑N1_当前N5"":16,""压力N5_支撑N2_当前N2"":22,""压力N5_支撑N2_当前N3"":8,""压力N5_支撑N2_当前N4"":6,""压力N5_支撑N2_当前N5"":26,""压力N5_支撑N3_当前N3"":37,""压力N5_支撑N3_当前N4"":24,""压力N5_支撑N3_当前N5"":51,""压力N5_支撑N4_当前N4"":78,""压力N5_支撑N4_当前N5"":114,""压力N5_支撑N5_当前N5"":153}",,
SIG-30M-5E1BA4E10F41F424,bar_window_ps_V230801,bar,kline,30m,GENERATED,"{""freq"":""30分钟"",""n"":8,""name"":""bar_window_ps_V230801"",""w"":5}",30分钟_N8W5_支撑压力位V230801,False,1378,10,"{""最大N0"":27,""最大N1"":127,""最大N2"":162,""最大N3"":136,""最大N4"":115,""最大N5"":110,""最大N6"":114,""最大N7"":111,""最大N8"":156,""最大N9"":320}","{""最大N0_最小N0_当前N0"":27,""最大N1_最小N0_当前N0"":72,""最大N1_最小N0_当前N1"":27,""最大N1_最小N1_当前N1"":28,""最大N2_最小N0_当前N0"":31,""最大N2_最小N0_当前N1"":7,""最大N2_最小N0_当前N2"":18,""最大N2_最小N1_当前N1"":33,""最大N2_最小N1_当前N2"":33,""最大N2_最小N2_当前N2"":40,""最大N3_最小N0_当前N0"":3,""最大N3_最小N0_当前N1"":2,""最大N3_最小N0_当前N3"":5,""最大N3_最小N1_当前N1"":9,""最大N3_最小N1_当前N2"":5,""最大N3_最小N1_当前N3"":12,""最大N3_最小N2_当前N2"":36,""最大N3_最小N2_当前N3"":38,""最大N3_最小N3_当前N3"":26,""最大N4_最小N0_当前N0"":2,""最大N4_最小N1_当前N1"":2,""最大N4_最小N2_当前N2"":7,""最大N4_最小N2_当前N3"":2,""最大N4_最小N2_当前N4"":7,""最大N4_最小N3_当前N3"":25,""最大N4_最小N3_当前N4"":33,""最大N4_最小N4_当前N4"":37,""最大N5_最小N0_当前N5"":1,""最大N5_最小N2_当前N2"":2,""最大N5_最小N2_当前N3"":1,""最大N5_最小N2_当前N4"":1,""最大N5_最小N2_当前N5"":3,""最大N5_最小N3_当前N3"":7,""最大N5_最小N3_当前N4"":6,""最大N5_最小N3_当前N5"":10,""最大N5_最小N4_当前N4"":24,""最大N5_最小N4_当前N5"":32,""最大N5_最小N5_当前N5"":23,""最大N6_最小N1_当前N1"":1,""最大N6_最小N2_当前N2"":1,""最大N6_最小N2_当前N3"":1,""最大N6_最小N2_当前N6"":3,""最大N6_最小N3_当前N3"":3,""最大N6_最小N3_当前N6"":2,""最大N6_最小N4_当前N4"":11,""最大N6_最小N4_当前N6"":5,""最大N6_最小N5_当前N5"":21,""最大N6_最小N5_当前N6"":30,""最大N6_最小N6_当前N6"":36,""最大N7_最小N2_当前N6"":1,""最大N7_最小N3_当前N3"":1,""最大N7_最小N4_当前N4"":1,""最大N7_最小N4_当前N7"":2,""最大N7_最小N5_当前N5"":3,""最大N7_最小N5_当前N6"":3,""最大N7_最小N5_当前N7"":5,""最大N7_最小N6_当前N6"":30,""最大N7_最小N6_当前N7"":41,""最大N7_最小N7_当前N7"":24,""最大N8_最小N3_当前N8"":1,""最大N8_最小N5_当前N6"":2,""最大N8_最小N5_当前N8"":2,""最大N8_最小N6_当前N6"":8,""最大N8_最小N6_当前N7"":1,""最大N8_最小N6_当前N8"":12,""最大N8_最小N7_当前N7"":46,""最大N8_最小N7_当前N8"":51,""最大N8_最小N8_当前N8"":33,""最大N9_最小N2_当前N2"":1,""最大N9_最小N5_当前N9"":1,""最大N9_最小N6_当前N6"":1,""最大N9_最小N6_当前N7"":1,""最大N9_最小N6_当前N9"":1,""最大N9_最小N7_当前N7"":13,""最大N9_最小N7_当前N8"":11,""最大N9_最小N7_当前N9"":28,""最大N9_最小N8_当前N8"":65,""最大N9_最小N8_当前N9"":102,""最大N9_最小N9_当前N9"":96}",,
