event_id,sample_id,entity_scope,primary_entity,event_type,direction,event_summary,evidence_excerpt,duplicate_event_key,published_at,source_experiment
EX36-E005,EX36-023,SEMICONDUCTOR_CHAIN,美埃科技,ORDER_DEMAND,POSITIVE,半导体洁净业务新签订单持续增长且在手订单饱满,新签订单持续增长在手订单饱满,美埃科技|ORDER_DEMAND|20250915,2025-09-15 12:16:00,20260913_S005_EX36
EX36-E020,EX36-048,DIRECT_COMPONENT,晶晨股份,M_AND_A,AMBIGUOUS,拟以3.16亿元现金收购芯迈微100%股权,收购对价合计为3.16亿元,晶晨股份|M_AND_A|20250915,2025-09-15 22:30:00,20260913_S005_EX36
EVT-006,EX38-022,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,帝科股份,M_AND_A,AMBIGUOUS,帝科股份拟现金收购江苏晶凯,帝科股份：3亿现金收购江苏晶凯62.5%股权  抢占AI时代存储产业机遇,帝科股份|M_AND_A|20251015,2025-10-15 09:56:00,20260913_S005_EX38
EVT-011,EX38-046,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,英唐智控,EARNINGS_CHANGE,NEGATIVE,英唐智控披露业绩下降及芯片业务进展受阻,英唐智控业绩增长困局：净利下滑，半导体芯片布局受挫,英唐智控|EARNINGS_CHANGE|2025H1,2025-10-15 16:28:00,20260913_S005_EX38
EVT-015,EX38-057,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,海光信息,EARNINGS_CHANGE,POSITIVE,海光信息披露2025年三季度收入和利润增长,海光信息、中科曙光前三季度业绩双双增长，吸收合并积极推进,海光信息|EARNINGS_CHANGE|2025Q3,2025-10-15 20:08:00,20260913_S005_EX38
EVT-021,EX38-080,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,芯原股份,M_AND_A,AMBIGUOUS,芯原股份拟收购逐点半导体控制权,芯原股份(688521.SH)拟联合共同投资人收购逐点半导体控制权,芯原股份|M_AND_A|20251015,2025-10-15 23:00:00,20260913_S005_EX38
EX36-E015,EX36-045,SEMICONDUCTOR_CHAIN,光力科技,MASS_PRODUCTION,POSITIVE,国产半导体设备自2025年7月以来持续满产,国产半导体设备已进入持续满产状态,光力科技|MASS_PRODUCTION|20260313,2026-03-16 08:03:00,20260913_S005_EX36
EX36-E016,EX36-045,SEMICONDUCTOR_CHAIN,光力科技,CAPEX,POSITIVE,航空港厂区二期预计2027年一季度投产,二期项目预计于2027年一季度全部建成投产,光力科技|CAPEX|2027Q1,2026-03-16 08:03:00,20260913_S005_EX36
EX36-E027,EX36-056,AI_CORE_DEMAND,顺络电子,ORDER_DEMAND,POSITIVE,AI数据中心相关产品进入核心客户供应链并实现配套供应,已进入行业核心大客户的供应链体系,顺络电子|ORDER_DEMAND|20260313,2026-03-16 09:50:00,20260913_S005_EX36
EX36-E002,EX36-006,SEMICONDUCTOR_INDUSTRY,国际模拟芯片厂商,PRICE_CHANGE,AMBIGUOUS,多家国际芯片厂商宣布4月起上调部分产品价格,相继向客户发出调价通知,国际模拟芯片|PRICE_CHANGE|20260401,2026-03-16 13:32:00,20260913_S005_EX36
EX36-E019,EX36-047,SEMICONDUCTOR_CHAIN,新松半导体,CAPITAL_ALLOCATION,AMBIGUOUS,半导体装备企业挂牌增资并拟出让不超过5%股权,增资项目正在北京产权交易所挂牌,新松半导体|CAPITAL_ALLOCATION|20260316,2026-03-16 16:18:00,20260913_S005_EX36
EX36-E012,EX36-038,SEMICONDUCTOR_CHAIN,上海传芯,INDUSTRIAL_INVESTMENT,AMBIGUOUS,一彬科技投资1.6亿元取得半导体掩模基板企业股权,以自有资金1.6亿元,上海传芯|INDUSTRIAL_INVESTMENT|20260316,2026-03-16 22:20:00,20260913_S005_EX36
EVT-007,EX38-027,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,横店东磁,MASS_PRODUCTION,POSITIVE,横店东磁披露芯片电感规模化生产进展,横店东磁2025年度业绩说明会：计提资产减值准备致当年四季度净利下跌，芯片电感已实现规模化量产且收入增速较高,横店东磁|MASS_PRODUCTION|2025FY,2026-04-15 18:49:00,20260913_S005_EX38
EVT-018,EX38-069,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,佰维存储,EARNINGS_CHANGE,POSITIVE,佰维存储披露2026年一季度收入和利润增长,佰维存储Q1营收、净利同比双增 AI端侧产品收入猛增四倍 但采购增加拖累现金流,佰维存储|EARNINGS_CHANGE|2026Q1,2026-04-15 19:51:00,20260913_S005_EX38
EVT-012,EX38-048,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,金山办公,EARNINGS_CHANGE,POSITIVE,金山办公披露2026年一季度业绩预增,接连押中智谱、傅里叶上市，金山办公一季度大赚超20亿元，超去年全年净利,金山办公|EARNINGS_CHANGE|2026Q1,2026-04-15 20:12:00,20260913_S005_EX38
EVT-024,EX38-103,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,容百科技,CAPEX,AMBIGUOUS,容百科技拟扩大磷酸铁锂产能,容百科技拟投43亿元扩建磷酸铁锂产能 布局52万吨前驱体及34万吨正极材料项目,容百科技|CAPEX|20260415,2026-04-15 20:21:00,20260913_S005_EX38
EVT-004,EX38-010,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,晶盛机电,ORDER_DEMAND,POSITIVE,晶盛机电披露碳化硅产品送样和批量订单进展,晶盛机电：12英寸碳化硅衬底送样验证 8英寸斩获海内外批量订单,晶盛机电|ORDER_DEMAND|20260414,2026-04-15 22:37:00,20260913_S005_EX38
EVT-020,EX38-079,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,概伦电子,EARNINGS_CHANGE,POSITIVE,概伦电子披露收入和利润增长,EDA产品收入增长 概伦电子2025年营收、净利创上市以来新高,概伦电子|EARNINGS_CHANGE|2025FY,2026-04-15 23:27:00,20260913_S005_EX38
EVT-008,EX38-032,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,存储芯片,PRICE_CHANGE,POSITIVE,存储价格上涨并伴随相关公司业绩增长,“1T硬盘价格都翻倍了” 存储涨价潮持续，龙头江波龙遭“杀跌”：高管已减持、现金流告急，谁在出逃？,存储芯片|PRICE_CHANGE|20260715,2026-07-15 18:34:00,20260913_S005_EX38
EVT-023,EX38-100,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,佰维存储,EARNINGS_CHANGE,POSITIVE,佰维存储披露2026年上半年业绩预增,佰维存储预计上半年归母净利至高75亿元 多家存储企业同步预喜,佰维存储|EARNINGS_CHANGE|2026H1,2026-07-15 19:34:00,20260913_S005_EX38
EVT-022,EX38-092,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,沪电股份,ORDER_DEMAND,POSITIVE,沪电股份披露AI服务器相关需求和产能进展,沪电股份：布局高阶PCB产能 深度绑定AI服务器与汽车算力赛道,沪电股份|ORDER_DEMAND|2026H1,2026-07-15 19:48:00,20260913_S005_EX38
EVT-019,EX38-072,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,仕佳光子,CAPEX,POSITIVE,仕佳光子定增扩充高速光芯片产能,仕佳光子定增募资不超28亿元 投建高速AWG芯片及光互连组件产能建设等项目,仕佳光子|CAPEX|20260715,2026-07-15 20:49:00,20260913_S005_EX38
EVT-003,EX38-009,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,精测电子,M_AND_A,AMBIGUOUS,精测电子筹划购买半导体子公司股权,重大资产重组！4倍牛股精测电子加码半导体，明起复牌,精测电子|M_AND_A|20260715,2026-07-15 20:53:00,20260913_S005_EX38
EX36-E010,EX36-030,DIRECT_COMPONENT,盛科通信,ORDER_DEMAND,POSITIVE,签订超过1亿元的以太网交换芯片长期订单,合同金额超1亿元,盛科通信|ORDER_DEMAND|20260816,2026-08-17 00:11:00,20260913_S005_EX36
EX36-E021,EX36-049,SEMICONDUCTOR_CHAIN,中微半导,EARNINGS_CHANGE,POSITIVE,2026年上半年归母净利润同比增长98.48%,归属于上市公司股东的净利润1.72亿元,中微半导|EARNINGS_CHANGE|2026H1,2026-08-17 06:50:00,20260913_S005_EX36
EX36-E022,EX36-049,SEMICONDUCTOR_CHAIN,珠海博雅,INDUSTRIAL_INVESTMENT,AMBIGUOUS,中微半导投入1.66亿元成为珠海博雅第二大股东,投入资金1.66亿元,珠海博雅|INDUSTRIAL_INVESTMENT|2026H1,2026-08-17 06:50:00,20260913_S005_EX36
EX36-E023,EX36-049,SEMICONDUCTOR_INDUSTRY,国民技术,PRICE_CHANGE,POSITIVE,宣布自2026年10月起上调部分产品价格10%至20%,部分产品价格进行10%至20%的上调,国民技术|PRICE_CHANGE|20261001,2026-08-17 06:50:00,20260913_S005_EX36
EX36-E008,EX36-027,DIRECT_COMPONENT,中芯国际,EARNINGS_CHANGE,POSITIVE,2026年二季度收入和利润同比大幅增长且毛利率超指引,2Q26收入30.1亿美元YoY+36.1%,中芯国际|EARNINGS_CHANGE|2026Q2,2026-08-17 07:00:00,20260913_S005_EX36
EX36-E009,EX36-027,DIRECT_COMPONENT,中芯国际,ORDER_DEMAND,POSITIVE,在手订单覆盖至2026年四季度,当前订单已覆盖至4Q26,中芯国际|ORDER_DEMAND|2026Q4,2026-08-17 07:00:00,20260913_S005_EX36
EX36-E007,EX36-026,SEMICONDUCTOR_CHAIN,普冉股份,EARNINGS_CHANGE,POSITIVE,2026年上半年归母净利润约8.25亿元同比增长约1925%,归母净利润约8.25亿元同比增长约1925%,普冉股份|EARNINGS_CHANGE|2026H1,2026-08-17 13:47:00,20260913_S005_EX36
EX36-E030,EX36-110,SEMICONDUCTOR_CHAIN,洁美科技,CAPEX,POSITIVE,追加4.28亿元扩大半导体离型膜产能,追加项目总投资人民币42800万元,洁美科技|CAPEX|20260817,2026-08-17 17:08:00,20260913_S005_EX36
EX36-E011,EX36-031,AI_CORE_DEMAND,行云科技,ORDER_DEMAND,POSITIVE,披露150.82亿元五年期算力框架订单,在手算力长期框架订单150.82亿元,行云科技|ORDER_DEMAND|202607,2026-08-17 19:00:00,20260913_S005_EX36
EX36-E006,EX36-024,SEMICONDUCTOR_INDUSTRY,SK海力士,CAPEX,AMBIGUOUS,宣布在韩国投资384亿美元建设晶圆厂,将在韩国投资384亿美元建设晶圆厂,SK海力士|CAPEX|202608,2026-08-17 19:18:00,20260913_S005_EX36
EX36-E028,EX36-104,DIRECT_COMPONENT,传音控股,EARNINGS_CHANGE,POSITIVE,2026年上半年归母净利润同比增长46.22%,归母净利润17.73亿元较上年同期增长46.22%,传音控股|EARNINGS_CHANGE|2026H1,2026-08-17 20:58:00,20260913_S005_EX36
EX36-E029,EX36-104,DIRECT_COMPONENT,传音控股,LEGAL_RESOLUTION,POSITIVE,与爱立信就专利争议达成和解,已与爱立信就相关专利争议达成和解,传音控股|LEGAL_RESOLUTION|20260817,2026-08-17 20:58:00,20260913_S005_EX36
EX36-E001,EX36-005,SEMICONDUCTOR_CHAIN,盈新发展,INDUSTRIAL_INVESTMENT,AMBIGUOUS,拟募资17.79亿元进入先进封测和存储芯片,募集资金总额不超过17.79亿元,盈新发展|INDUSTRIAL_INVESTMENT|20260817,2026-08-17 23:32:00,20260913_S005_EX36
EVT-001,EX39-CAC7005C66AA,,寒武纪,CAPITAL_ALLOCATION,AMBIGUOUS,员工限制性股票完成归属登记,人均账面价值超550万元 寒武纪124名员工获激励大礼包,寒武纪|CAPITAL_ALLOCATION|20260817,2026-08-18 01:55:00,20260913_S005_EX39
EVT-002,EX39-2BC0E44987D3,,上海合晶,CAPITAL_ALLOCATION,NEGATIVE,董事及高级管理人员披露减持计划,上海合晶硅材料股份有限公司董事及高级管理人员减持股份计划公告,上海合晶|CAPITAL_ALLOCATION|20260818,2026-08-18 01:56:00,20260913_S005_EX39
EVT-003,EX39-3888DE410191,,PCB产业链,INDUSTRY_DATA,POSITIVE,多家产业链公司业绩增长且高端产品供需偏紧,PCB产业链半年报亮眼 高端产品供需偏紧或延续至2028年,PCB产业链|INDUSTRY_DATA|2026H1,2026-08-18 02:15:00,20260913_S005_EX39
EVT-004,EX39-1C30FAC983A5,,瑞芯微,EARNINGS_CHANGE,POSITIVE,上半年收入和利润增长,下游需求持续释放 瑞芯微上半年净利同比增逾六成,瑞芯微|EARNINGS_CHANGE|2026H1,2026-08-18 02:15:00,20260913_S005_EX39
EVT-005,EX39-1C30FAC983A5,,半导体供应链,SUPPLY_DISRUPTION,NEGATIVE,存储和多类上游材料供应承压,下游需求持续释放 瑞芯微上半年净利同比增逾六成,半导体供应链|SUPPLY_DISRUPTION|2026H1,2026-08-18 02:15:00,20260913_S005_EX39
EVT-006,EX39-A837DC4943E9,,复旦微电,EARNINGS_CHANGE,POSITIVE,上半年利润同比大幅增长,发力AI创新领域 复旦微电上半年净利同比增三倍多,复旦微电|EARNINGS_CHANGE|2026H1,2026-08-18 02:15:00,20260913_S005_EX39
EVT-007,EX39-A837DC4943E9,,复旦微电,PRODUCT_RELEASE,POSITIVE,发布FPGA IP、解决方案及Agent开发平台,发力AI创新领域 复旦微电上半年净利同比增三倍多,复旦微电|PRODUCT_RELEASE|2026H1,2026-08-18 02:15:00,20260913_S005_EX39
EVT-008,EX39-FDBBFBDDE411,,CMP材料,INDUSTRY_DATA,POSITIVE,先进制程和存储升级增加CMP工序及材料需求,存储与逻辑芯片迭代升级 CMP市场迎来新风口,CMP材料|INDUSTRY_DATA|20260818,2026-08-18 02:15:00,20260913_S005_EX39
EVT-009,EX39-47A7856AA774,,芯原股份,ORDER_DEMAND,POSITIVE,AI算力订单占新签订单九成,AI算力订单占比升至九成 芯原股份上半年营收近翻倍但亏损持续｜财报解读,芯原股份|ORDER_DEMAND|20260817,2026-08-18 07:21:00,20260913_S005_EX39
EVT-010,EX39-47A7856AA774,,芯原股份,EARNINGS_CHANGE,NEGATIVE,上半年收入增长但仍持续亏损,AI算力订单占比升至九成 芯原股份上半年营收近翻倍但亏损持续｜财报解读,芯原股份|EARNINGS_CHANGE|2026H1,2026-08-18 07:21:00,20260913_S005_EX39
EVT-011,EX39-403C50CB0588,,磷化铟基板,PRICE_CHANGE,POSITIVE,供不应求推动第四季度价格继续上涨,12天11板大牛股，今起复牌！磷化铟基板价格飙涨，多股业绩向好,磷化铟基板|PRICE_CHANGE|2026Q4,2026-08-18 07:29:00,20260913_S005_EX39
EVT-012,EX39-9F5DB036DD64,,中际旭创,M_AND_A,POSITIVE,入股散热和PCB企业以强化AI光模块供应链,中际旭创相继入股PCB及散热龙头 H股募资534亿港元加速产业链布局,中际旭创|M_AND_A|20260818,2026-08-18 07:39:00,20260913_S005_EX39
EVT-013,EX39-6D74CBDDA39E,,富乐德,CAPEX,POSITIVE,拟募资建设半导体洗净、修复和载板项目,富乐德拟募资11.76亿投建七大项目 双主业协同发力半年盈利预增逾五成,富乐德|CAPEX|20260818,2026-08-18 07:39:00,20260913_S005_EX39
EVT-014,EX39-6D74CBDDA39E,,富乐德,EARNINGS_CHANGE,POSITIVE,上半年利润预计增长,富乐德拟募资11.76亿投建七大项目 双主业协同发力半年盈利预增逾五成,富乐德|EARNINGS_CHANGE|2026H1,2026-08-18 07:39:00,20260913_S005_EX39
EVT-015,EX39-92EB7DF2568D,,海光信息,EARNINGS_CHANGE,POSITIVE,上半年收入和利润创同期新高,海光信息高端发力单季首赚超10亿   存货逾75亿预付款倍增保障供应能力,海光信息|EARNINGS_CHANGE|2026H1,2026-08-18 07:39:00,20260913_S005_EX39
EVT-016,EX39-92EB7DF2568D,,海光信息,CAPITAL_ALLOCATION,AMBIGUOUS,为保障供应扩大存货和预付款,海光信息高端发力单季首赚超10亿   存货逾75亿预付款倍增保障供应能力,海光信息|CAPITAL_ALLOCATION|2026H1,2026-08-18 07:39:00,20260913_S005_EX39
EVT-027,EX39-55C326359F86,,远东股份,CAPEX,POSITIVE,AIDC光纤预制棒项目主体封顶并推进设备调试,远东股份“AIDC用全合成光纤预制棒制造”项目主体封顶！,远东股份|CAPEX|20260818,2026-08-18 12:16:00,20260913_S005_EX39
EVT-029,EX39-F25AA392FC3B,,传音控股,CAPITAL_ALLOCATION,AMBIGUOUS,应对存储涨价大幅增加库存和采购付款,传音控股上半年净利润增四成，存储涨价备货致经营现金流净流出,传音控股|CAPITAL_ALLOCATION|2026H1,2026-08-18 14:23:00,20260913_S005_EX39
