signal_date,execution_date,side,size,price,fees
2024-11-05,2024-11-06,Buy,1350487.6287518912,1.024,691.4496659208089
2024-11-15,2024-11-18,Sell,1350487.6287518912,1.014,684.6972277772089
2024-12-02,2024-12-03,Buy,1314145.768927871,1.041,684.0128727268893
2024-12-05,2024-12-06,Sell,1314145.768927871,1.03,676.7850709978536
2024-12-10,2024-12-11,Buy,1307753.6250488965,1.034,676.108624150278
2024-12-13,2024-12-16,Sell,1307753.6250488965,1.013,662.377211087266
2024-12-20,2024-12-23,Buy,1278676.6471483535,1.035,661.7151648991276
2024-12-31,2025-01-02,Sell,1278676.6471483535,1.01,645.7317068099185
2025-01-14,2025-01-15,Buy,1287597.4008135924,1.002,645.0862978075165
2025-03-11,2025-03-12,Sell,1287597.4008135924,1.133,729.4239275609001
2025-04-11,2025-04-14,Buy,1394631.3266278242,1.045,728.6948681629729
2025-04-18,2025-04-21,Sell,1394631.3266278242,1.034,721.0243958665852
2025-04-21,2025-04-22,Buy,1385199.4842360588,1.04,720.3037318026181
2025-04-24,2025-04-25,Sell,1385199.4842360588,1.027,711.2999351552162
2025-05-07,2025-05-08,Buy,1353502.8394138901,1.05,710.5889906922821
2025-05-12,2025-05-13,Sell,1353502.8394138901,1.041,704.4982279149298
2025-05-14,2025-05-15,Buy,1358675.8335136913,1.036,703.7940817601047
2025-05-19,2025-05-20,Sell,1358675.8335136913,1.019,692.2453371752257
2025-05-29,2025-05-30,Buy,1369412.748094543,1.01,691.5534377875738
2025-06-13,2025-06-16,Sell,1369412.748094543,0.995,681.2828421770351
2025-06-19,2025-06-20,Buy,1377736.6392834892,0.988,680.6018998059444
2025-10-14,2025-10-15,Sell,1377736.6392834892,1.442,993.3481169233957
2025-10-24,2025-10-27,Buy,1299169.719592154,1.5276761,992.3552652322687
2025-10-30,2025-10-31,Sell,1299169.719592154,1.4923366,969.3992610795543
2025-12-08,2025-12-09,Buy,1404285.235957735,1.3792502000000002,968.4303462756798
2025-12-11,2025-12-12,Sell,1404285.235957735,1.3630950000000002,957.0870918539046
2025-12-12,2025-12-15,Buy,1391543.1527503487,1.3742017,956.1304830664303
2025-12-24,2025-12-25,Sell,1391543.1527503487,1.3873278000000002,965.2632503551027
2025-12-25,2025-12-26,Buy,1390152.3050214627,1.3873278000000002,964.2984694950283
